comp,compID_num,comp_name_simple,comp_name_full,specie.A,specie.B1,specie.B2,specie.X,element.A,element.B1,element.B2,element.X,r_ionic.A,r_ionic.B1,r_ionic.B2,r_ionic.X,oct_factor,oct_mismatch,gen_t_factor,geom_stable,broken_condition,tau_factor,block.B1,row.B1,inputcharge.B1,block.B2,row.B2,inputcharge.B2,used_lobbasis,used_lobbasis_func,block_pairing,VBM,CBM,bandgap,VBMtotcontr.A,VBMorbital.A,VBMorbchar.A,VBMorborder.A,VBMorbcontr.A,CBMtotcontr.A,CBMorbital.A,CBMorbchar.A,CBMorborder.A,CBMorbcontr.A,VBMtotcontr.B1,VBMorbital.B1,VBMorbchar.B1,VBMorborder.B1,VBMorbcontr.B1,CBMtotcontr.B1,CBMorbital.B1,CBMorbchar.B1,CBMorborder.B1,CBMorbcontr.B1,VBMtotcontr.B2,VBMorbital.B2,VBMorbchar.B2,VBMorborder.B2,VBMorbcontr.B2,CBMtotcontr.B2,CBMorbital.B2,CBMorbchar.B2,CBMorborder.B2,CBMorbcontr.B2,VBMtotcontr.X,VBMorbital.X,VBMorbchar.X,VBMorborder.X,VBMorbcontr.X,CBMtotcontr.X,CBMorbital.X,CBMorbchar.X,CBMorborder.X,CBMorbcontr.X,spin_vbm,spin_cbm,spin_forbidden,cond_type,lattice_a_primitive,lattice_a_conventional,distance_B1_X,distance_B1_A,size_Oh_B1,distance_B2_X,distance_B2_A,size_Oh_B2,calc_oct_mismatch,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts,popdiff.total,popdiff.B1,popdiff.B2,charge.B1,charge.B2,charge.A,charge.X,charge.total,charge.balanced,Icohp.B1.sum,Icohp.B1.avg,Icohp.B1.avg_spinup,Icohp.B1.avg_spindown,Icohp.B1.x_avg,Icohp.B1.x_spinup,Icohp.B1.x_spindown,Icohp.B1.y_avg,Icohp.B1.y_spinup,Icohp.B1.y_spindown,Icohp.B1.z_avg,Icohp.B1.z_spinup,Icohp.B1.z_spindown,Icobi.B1.sum,Icobi.B1.avg,Icobi.B1.avg_spinup,Icobi.B1.avg_spindown,Icobi.B1.x_avg,Icobi.B1.x_spinup,Icobi.B1.x_spindown,Icobi.B1.y_avg,Icobi.B1.y_spinup,Icobi.B1.y_spindown,Icobi.B1.z_avg,Icobi.B1.z_spinup,Icobi.B1.z_spindown,Icohp.B1.axial_asym_index,Icohp.B1.directional_asym_index,Icobi.B1.axial_asym_index,Icobi.B1.directional_asym_index,Icohp.B2.sum,Icohp.B2.avg,Icohp.B2.avg_spinup,Icohp.B2.avg_spindown,Icohp.B2.x_avg,Icohp.B2.x_spinup,Icohp.B2.x_spindown,Icohp.B2.y_avg,Icohp.B2.y_spinup,Icohp.B2.y_spindown,Icohp.B2.z_avg,Icohp.B2.z_spinup,Icohp.B2.z_spindown,Icobi.B2.sum,Icobi.B2.avg,Icobi.B2.avg_spinup,Icobi.B2.avg_spindown,Icobi.B2.x_avg,Icobi.B2.x_spinup,Icobi.B2.x_spindown,Icobi.B2.y_avg,Icobi.B2.y_spinup,Icobi.B2.y_spindown,Icobi.B2.z_avg,Icobi.B2.z_spinup,Icobi.B2.z_spindown,Icohp.B2.axial_asym_index,Icohp.B2.directional_asym_index,Icobi.B2.axial_asym_index,Icobi.B2.directional_asym_index,MadelungEnergy,SitePotential.B1,SitePotential.B2,vbmsite,cbmsite,vbmorbital,vbmorbchar,vbmorborder,vbmorbcontr,cbmorbital,cbmorbchar,cbmorborder,cbmorbcontr,transition_sites,transition_bands
1086_CsHgYbCl,1086,CsHgYbCl,Cs2HgYbCl6,Cs+,Hg+,Yb3+,Cl-,Cs,Hg,Yb,Cl,188.0,119.0,86.8,181.0,0.5685082872928177,0.0889502762430939,0.9183264210296348,True,,3.7904544739359216,d,6,1,f,6.0,3,basisset0,"{'Hg': ' 5d 6s', 'Yb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f,-0.29709,0.03565,0.33274,0.0,,,,0.0,0.0,,,,0.0,0.5701336791185548,6s,s,6.0,0.5698801270585163,0.6728397169888919,6s,s,6.0,0.6726612597159404,0.0751918301659209,4f,f,4.0,0.0675590766700839,0.0186086201116055,6s,s,6.0,0.0171405565077018,0.3528712405319079,3p,p,3.0,0.2963418841674359,0.3055770543390371,3p,p,3.0,0.2314595640351354,1.0,-1.0,True,semiconductor,7.675738038014928,10.855132834583763,2.869671175009559,4.700410398102061,5.739342350019118,2.557895242282324,4.700410398102061,5.115790484564644,0.086126,1.265,False,,,0.0,0.64,-0.9,0.73,2.34,1.01,-0.85,-0.01,True,-2.07454,-0.3457566666666666,-0.0166366666666666,-0.32912,-0.34337,-0.0131,-0.33027,-0.34691,-0.01835,-0.32856,-0.3469899999999999,-0.01846,-0.32853,0.2428799999999999,0.0404799999999999,0.0030733333333333,0.0374066666666666,0.0396,0.00245,0.03715,0.04091,0.00338,0.03753,0.0409299999999999,0.00339,0.03754,4.020582802620591e-17,0.0104697908934027,4.532235734804429e-18,0.0328557312252962,-7.36434,-1.22739,-0.619535,-0.6078549999999999,-1.216625,-0.60857,-0.608055,-1.232675,-0.624915,-0.60776,-1.23287,-0.62512,-0.60775,0.76821,0.1280349999999999,0.06723,0.060805,0.125225,0.06443,0.060795,0.12941,0.0686,0.06081,0.12947,0.06866,0.06081,2.357027035164041e-06,0.0132354019504803,1.6666698000322722e-06,0.0331549966805951,-50.05,-8.2,-18.1,B1,B1,6s,s,6.0,0.5698801270585163,6s,s,6.0,0.6726612597159404,B-B,s-s
1107_CsHgTmCl,1107,CsHgTmCl,Cs2HgTmCl6,Cs+,Hg+,Tm3+,Cl-,Cs,Hg,Tm,Cl,188.0,119.0,88.0,181.0,0.5718232044198895,0.0856353591160221,0.9164463884037966,True,,3.792041311791341,d,6,1,f,6.0,3,basisset0,"{'Hg': ' 5d 6s', 'Tm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f,-0.39579,0.02328,0.41907,0.0,,,,0.0,0.0,,,,0.0,0.6045893628327671,6s,s,6.0,0.604233864236749,0.4804821434926759,6s,s,6.0,0.4803846688681825,0.0,,,,0.0,0.3192427261243122,4f,f,4.0,0.3096339540440778,0.3839574858516442,3p,p,3.0,0.3248241080304019,0.1984328966706606,3p,p,3.0,0.1464282888237943,-1.0,1.0,True,semiconductor,7.6894500052237476,10.874524484577288,2.869700072647383,4.708807228859905,5.739400145294764,2.5675621696412616,4.708807228859905,5.135124339282526,0.083464,1.29,False,,,-3.02,-0.68,-1.98,0.7,2.4,1.01,-0.85,0.02,True,-1.95468,-0.3257799999999999,-0.3286233333333333,0.0028433333333333,-0.32436,-0.32723,0.00287,-0.32477,-0.3276,0.00283,-0.32821,-0.33104,0.00283,0.21156,0.03526,0.0347666666666666,0.0004933333333333,0.03486,0.03438,0.00048,0.0349999999999999,0.03451,0.00049,0.0359199999999999,0.03541,0.00051,0.0,0.0118177911473999,0.0,0.030062393647192,-7.328060000000001,-1.2213433333333334,-0.6355266666666667,-0.5858166666666667,-1.22685,-0.64273,-0.58412,-1.22472,-0.63864,-0.58608,-1.21246,-0.62521,-0.58725,0.75377,0.1256283333333333,0.0658599999999999,0.0597683333333333,0.12624,0.06654,0.0597,0.12599,0.06622,0.05977,0.124655,0.06482,0.059835,3.333336198692768e-06,0.0117821087709433,1.6666680993093763e-06,0.0126165806545764,-50.92,-8.13,-18.33,B1,B1,6s,s,6.0,0.604233864236749,6s,s,6.0,0.4803846688681825,B-B,s-s
1141_CsHgAgCl,1141,CsHgAgCl,Cs2HgAgCl6,Cs+,Hg+,Ag3+,Cl-,Cs,Hg,Ag,Cl,188.0,119.0,75.0,181.0,0.5359116022099447,0.1215469613259668,0.9371037588447486,True,,3.7948800613311047,d,6,1,d,5.0,3,basisset0,"{'Hg': ' 5d 6s', 'Ag': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d,-0.00643,0.00643,0.01286,0.0,,,,0.0,0.0,,,,0.0,0.048927710283224,5d,d,5.0,0.0331034447459104,0.0589409291947307,5d,d,5.0,0.0512234530011641,0.2946763211627025,4d,d,4.0,0.2922947584293074,0.2714471878577079,4d,d,4.0,0.2678079928416886,0.6560331998418406,3p,p,3.0,0.6427013963503037,0.6695481598041623,3p,p,3.0,0.6611622568370308,-1.0,-1.0,False,half-metal,7.3105180670521746,10.338633798398728,2.618102254534792,4.476759754918851,5.236204509069583,2.5512146446645723,4.476759754918851,5.102429289329145,0.018477,0.625,True,0.0,0.0,0.99,0.03,0.26,1.21,0.75,1.01,-0.6666666666666666,-0.02,True,-6.129169999999999,-1.0215283333333331,-0.4849483333333333,-0.53658,-1.023755,-0.486895,-0.53686,-1.0174,-0.4813349999999999,-0.536065,-1.0234299999999998,-0.486615,-0.536815,0.90672,0.15112,0.0741783333333333,0.0769416666666666,0.15231,0.074835,0.0774749999999999,0.14892,0.072965,0.075955,0.15213,0.074735,0.077395,8.112068120325943e-05,0.0062210707159371,1.2472200162441757e-05,0.0224325039703547,-7.62225,-1.270375,-0.5528316666666667,-0.7175433333333334,-1.259905,-0.5536700000000001,-0.706235,-1.28977,-0.55127,-0.7385,-1.26145,-0.553555,-0.7078949999999999,0.8627199999999999,0.1437866666666666,0.0627266666666666,0.08106,0.14188,0.062795,0.0790849999999999,0.147315,0.0626,0.084715,0.1421649999999999,0.062785,0.07938,5.283612217050148e-05,0.0235088064547869,1.080121348685778e-05,0.0377990541543026,-27.36,-10.38,-8.57,X,X,3p,p,3.0,0.6427013963503037,3p,p,3.0,0.6611622568370308,X-X,p-p
1173_CsHgDyCl,1173,CsHgDyCl,Cs2HgDyCl6,Cs+,Hg+,Dy3+,Cl-,Cs,Hg,Dy,Cl,188.0,119.0,91.2,181.0,0.5806629834254143,0.0767955801104972,0.9114595077637776,True,,3.798147500565255,d,6,1,f,6.0,3,basisset0,"{'Hg': ' 5d 6s', 'Dy': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f,-0.46431,0.03239,0.4967,0.0,,,,0.0,0.0,,,,0.0,0.6039126856030554,6s,s,6.0,0.603537923901942,0.6689393821805104,6s,s,6.0,0.6687736649261029,0.0111657925943618,6s,s,6.0,0.0077762123819779,0.0265004563691882,6s,s,6.0,0.0123706636937995,0.3829824242337145,3p,p,3.0,0.3235519083980814,0.3021194460752402,3p,p,3.0,0.2341867848022213,-1.0,1.0,True,semiconductor,7.733881145998787,10.93735960645306,2.868752631531008,4.7360156347570594,5.737505263062014,2.599927171695522,4.7360156347570594,5.199854343391046,0.074261,1.31,False,,,-6.04,-0.68,-5.0,0.7,2.42,1.01,-0.86,-0.02,True,-1.95089,-0.3251483333333334,-0.328305,0.0031566666666666,-0.32298,-0.32612,0.00314,-0.32646,-0.32959,0.00313,-0.326005,-0.3292049999999999,0.0032,0.2121,0.03535,0.0348566666666666,0.0004933333333333,0.03476,0.03428,0.00048,0.03576,0.03525,0.00051,0.03553,0.03504,0.00049,1.666668057067138e-06,0.0107028074366056,1.2958991938867484e-17,0.0282885431400283,-7.046860000000001,-1.1744766666666668,-0.6173016666666666,-0.557175,-1.179205,-0.623975,-0.55523,-1.171415,-0.61028,-0.5611349999999999,-1.17281,-0.61765,-0.55516,0.72119,0.1201983333333333,0.0626233333333333,0.057575,0.12054,0.06308,0.05746,0.119955,0.06214,0.057815,0.1201,0.06265,0.05745,2.357020252861816e-06,0.0066327413912011,1.6666650042250024e-06,0.0048669560032722,-50.98,-8.2,-18.21,B1,B1,6s,s,6.0,0.603537923901942,6s,s,6.0,0.6687736649261029,B-B,s-s
1208_CsAuAgCl,1208,CsAuAgCl,Cs2AuAgCl6,Cs+,Au+,Ag3+,Cl-,Cs,Au,Ag,Cl,188.0,137.0,75.0,181.0,0.585635359116022,0.1712707182320442,0.9064971070286588,True,,3.802793288960511,d,6,1,d,5.0,3,basisset0,"{'Au': ' 5d 6s', 'Ag': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d,-0.00641,0.00641,0.01282,0.0,,,,0.0,0.0,,,,0.0,0.3057940768325245,5d,d,5.0,0.3030571616270501,0.2725595245680957,5d,d,5.0,0.2680079464450589,0.0846038538456792,4d,d,4.0,0.0731487833176657,0.110769636314231,4d,d,4.0,0.1052927918777731,0.6093475175760478,3p,p,3.0,0.5925872692671111,0.6166110534684701,3p,p,3.0,0.60605200119845,1.0,1.0,False,metallic,7.177121779000772,10.149982958666207,2.517298305307885,4.395071545092037,5.03459661061577,2.5576931740252187,4.395071545092037,5.115386348050437,0.011159,0.65,True,0.0,0.0,0.0,0.0,0.0,0.82,0.68,1.01,-0.59,-0.02,True,-9.36956,-1.5615933333333334,-0.780765,-0.7808283333333333,-1.56032,-0.7804150000000001,-0.7799050000000001,-1.5622,-0.82781,-0.73439,-1.56226,-0.73407,-0.82819,1.18609,0.1976816666666666,0.0988366666666666,0.098845,0.197275,0.09867,0.098605,0.19788,0.10477,0.09311,0.19789,0.09307,0.10482,3.3333310806756464e-06,0.0012423208773944,1.666665540347075e-06,0.0031110623983003,-7.45106,-1.2418433333333334,-0.62092,-0.6209233333333334,-1.240955,-0.620485,-0.62047,-1.242305,-0.62188,-0.620425,-1.24227,-0.620395,-0.621875,0.8691600000000002,0.14486,0.07243,0.07243,0.14481,0.072405,0.072405,0.14489,0.07259,0.0723,0.14488,0.072295,0.072585,4.490736815647785e-05,0.0010870936484204,4.7140511079495935e-06,0.0005522573519261,-21.4,-8.32,-7.39,X,X,3p,p,3.0,0.5925872692671111,3p,p,3.0,0.60605200119845,X-X,p-p
1227_CsAuPdCl,1227,CsAuPdCl,Cs2AuPdCl6,Cs+,Au+,Pd3+,Cl-,Cs,Au,Pd,Cl,188.0,137.0,76.0,181.0,0.5883977900552486,0.1685082872928177,0.9050133986698108,True,,3.805755404636373,d,6,1,d,5.0,3,basisset0,"{'Au': ' 5d 6s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d,-0.00639,0.00639,0.01278,0.0,,,,0.0,0.0,,,,0.0,0.1691770545079955,5d,d,5.0,0.1529755209528582,0.1736189045841644,5d,d,5.0,0.1669635634934541,0.262791117688162,4d,d,4.0,0.2562483984732369,0.24204439662022,4d,d,4.0,0.2385261197949039,0.5677094642642134,3p,p,3.0,0.5414927927436557,0.5842514356946928,3p,p,3.0,0.5695177247158452,1.0,1.0,False,metallic,7.088620577456203,10.024823359155564,2.5814598034219234,4.340875848740184,5.162919606843846,2.4309518761558584,4.340875848740184,4.861903752311718,0.041577,0.735,True,0.0,0.0,0.87,-0.04,0.65,0.64,0.59,1.01,-0.5433333333333333,-0.01,True,-7.80807,-1.301345,-0.66737,-0.633975,-1.29587,-0.664195,-0.631675,-1.300115,-0.66963,-0.630485,-1.3080500000000002,-0.668285,-0.639765,0.9834,0.1639,0.0843266666666666,0.0795733333333333,0.16303,0.0838349999999999,0.079195,0.1637,0.08456,0.07914,0.16497,0.084585,0.080385,4.728754008984245e-05,0.0093595472376658,7.4535604860450114e-06,0.0118364856619889,-11.50135,-1.9168916666666664,-0.7850750000000001,-1.1318166666666667,-1.91946,-0.7831699999999999,-1.13629,-1.93747,-0.804045,-1.133425,-1.893745,-0.7680100000000001,-1.125735,1.5699899999999998,0.261665,0.10581,0.155855,0.26059,0.10482,0.15577,0.2681099999999999,0.11035,0.15776,0.256295,0.10226,0.154035,7.312474852147225e-05,0.022810365739674,3.077699458385468e-05,0.0451531538417438,-18.32,-6.58,-7.24,X,X,3p,p,3.0,0.5414927927436557,3p,p,3.0,0.5695177247158452,X-X,p-p
1235_CsPdTmCl,1235,CsPdTmCl,Cs2PdTmCl6,Cs+,Pd2+,Tm2+,Cl-,Cs,Pd,Tm,Cl,188.0,86.0,103.0,181.0,0.5220994475138122,0.0469613259668508,0.9468614552855212,True,,3.807603501489553,d,5,2,f,6.0,2,basisset0,"{'Pd': ' 4d 5s', 'Tm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f,-1.49259,0.01175,1.50434,0.0,,,,0.0,0.0,,,,0.0,0.6946374626617285,4d,d,4.0,0.6943719695708954,0.1207972834605055,4d,d,4.0,0.1198333993046957,0.0329348939014862,4f,f,4.0,0.0270288185169619,0.839671012197195,4f,f,4.0,0.8380094471544478,0.2722768565241959,3p,p,3.0,0.2468030353887364,0.039477477750492,3p,p,3.0,0.0344658509465108,-1.0,-1.0,False,semiconductor,7.321891270406355,10.354717936829836,2.6020591768421486,4.483724391158514,5.204118353684297,2.5752997915727693,4.483724391158514,5.150599583145539,0.007392,1.125,True,0.0,0.0,2.98,0.84,1.94,0.35,2.34,1.02,-0.7866666666666666,0.01,True,-6.32027,-1.0533783333333333,-0.4298216666666667,-0.6235566666666666,-0.96307,-0.43467,-0.5284,-0.96077,-0.43296,-0.52781,-1.236295,-0.421835,-0.81446,0.79624,0.1327066666666666,0.0550666666666666,0.07764,0.123035,0.05623,0.066805,0.12242,0.05583,0.06659,0.152665,0.05314,0.099525,0.0004708294345017,0.2615631927117039,5.787915851402496e-05,0.2279086707525368,-7.419219999999999,-1.2365366666666666,-0.5965483333333333,-0.6399883333333333,-1.240435,-0.59524,-0.645195,-1.23911,-0.593125,-0.645985,-1.230065,-0.60128,-0.6287849999999999,0.7660399999999999,0.1276733333333333,0.0602766666666666,0.0673966666666666,0.1297749999999999,0.06063,0.069145,0.129695,0.060515,0.0691799999999999,0.12355,0.059685,0.063865,4.236088620153605e-05,0.0083863263254088,1.929306276977285e-05,0.0487572450524775,-44.82,-7.29,-17.19,B1,B2,4d,d,4.0,0.6943719695708954,4f,f,4.0,0.8380094471544478,B-B,d-f
1255_CsPdHgCl,1255,CsPdHgCl,Cs2PdHgCl6,Cs+,Pd2+,Hg2+,Cl-,Cs,Pd,Hg,Cl,188.0,86.0,102.0,181.0,0.5193370165745856,0.0441988950276243,0.9486080594669988,True,,3.810921996671544,d,5,2,d,6.0,2,basisset0,"{'Pd': ' 4d 5s', 'Hg': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d,-0.0064,0.0064,0.0128,0.0,,,,0.0,0.0,,,,0.0,0.3724091122453726,4d,d,4.0,0.37125210912028,0.4320791140081483,4d,d,4.0,0.4291118162910187,0.0842662798712749,6s,s,6.0,0.0620620535959707,0.0813728703494865,6s,s,6.0,0.0638375581665534,0.5429270994997314,3p,p,3.0,0.5079683515665636,0.486257055111468,3p,p,3.0,0.4500035092429371,1.0,1.0,False,metallic,7.235042810794317,10.231895667375282,2.423676059062781,4.430540788409464,4.847352118125561,2.69227177462486,4.430540788409464,5.384543549249721,0.074198,0.75,True,0.0024,0.0,-0.01,0.0,0.0,0.6,1.07,1.01,-0.615,-0.0,True,-10.98776,-1.8312933333333328,-0.915295,-0.9159983333333332,-1.89063,-0.953565,-0.937065,-1.803815,-1.0831050000000002,-0.72071,-1.799435,-0.7092149999999999,-1.09022,1.40948,0.2349133333333333,0.117485,0.1174283333333333,0.24951,0.12594,0.12357,0.228205,0.1394449999999999,0.08876,0.227025,0.08707,0.139955,0.0003763635917481,0.049798139020146,9.095161421967012e-05,0.0957161506371144,-4.94796,-0.8246600000000001,-0.412585,-0.412075,-0.792985,-0.39532,-0.397665,-0.8396950000000001,-0.37966,-0.4600349999999999,-0.8412999999999999,-0.462775,-0.378525,0.7799800000000001,0.1299966666666666,0.06504,0.0649566666666666,0.118685,0.05913,0.059555,0.13536,0.06003,0.07533,0.135945,0.07596,0.059985,0.0001409689546474,0.0585877816312175,2.77889034146524e-05,0.1327726351957742,-23.16,-8.2,-8.84,X,X,3p,p,3.0,0.5079683515665636,3p,p,3.0,0.4500035092429371,X-X,p-p
1256_CsPdYbCl,1256,CsPdYbCl,Cs2PdYbCl6,Cs+,Pd2+,Yb2+,Cl-,Cs,Pd,Yb,Cl,188.0,86.0,102.0,181.0,0.5193370165745856,0.0441988950276243,0.9486080594669988,True,,3.810921996671544,d,5,2,f,6.0,2,basisset0,"{'Pd': ' 4d 5s', 'Yb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f,-0.55708,0.01238,0.56946,0.0,,,,0.0,0.0,,,,0.0,0.6765405413025127,4d,d,4.0,0.6762613805518598,0.0329217730007244,4d,d,4.0,0.0320355251801339,0.0572029074504077,4f,f,4.0,0.0514452484335595,0.9210246604429184,4f,f,4.0,0.9202889472430624,0.2661086640144298,3p,p,3.0,0.2412409538638402,0.0460112286942755,3p,p,3.0,0.0443055823090129,-1.0,-1.0,False,semiconductor,7.309953668297547,10.337835618025348,2.603022509566138,4.476414132678777,5.206045019132275,2.5658952994465363,4.476414132678777,5.131790598893073,0.010256,1.115,True,0.0,0.0,2.01,0.86,0.93,0.36,2.31,1.02,-0.7866666666666666,-0.01,True,-6.391719999999999,-1.0652866666666665,-0.4338883333333332,-0.6313983333333333,-0.953265,-0.4385099999999999,-0.514755,-1.24207,-0.426845,-0.815225,-1.000525,-0.43631,-0.5642149999999999,0.8007799999999999,0.1334633333333333,0.0552666666666666,0.0781966666666666,0.120165,0.056075,0.06409,0.153615,0.05362,0.099995,0.12661,0.056105,0.070505,0.0012183812662753,0.271105430150257,0.0001976109221446,0.2506306351307475,-7.42614,-1.23769,-0.6044016666666666,-0.6332883333333333,-1.24506,-0.60122,-0.64384,-1.22995,-0.606715,-0.623235,-1.23806,-0.60527,-0.63279,0.7686000000000001,0.1281,0.0610583333333333,0.0670416666666666,0.1322,0.06145,0.07075,0.12316,0.06028,0.0628799999999999,0.12894,0.061445,0.067495,0.0001492199189195,0.0122082266157114,6.691607575464185e-05,0.0705698672911788,-44.62,-7.33,-17.13,B1,B2,4d,d,4.0,0.6762613805518598,4f,f,4.0,0.9202889472430624,B-B,d-f
1287_CsHgTiCl,1287,CsHgTiCl,Cs2HgTiCl6,Cs+,Hg+,Ti3+,Cl-,Cs,Hg,Ti,Cl,188.0,119.0,67.0,181.0,0.5138121546961326,0.143646408839779,0.9501351391040476,False,OL,3.818335733934757,d,6,1,d,4.0,3,basisset0,"{'Hg': ' 5d 6s', 'Ti': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d,-1.42116,0.01366,1.43482,0.0,,,,0.0,0.0,,,,0.0,0.7019988921844554,6s,s,6.0,0.7014946593833394,0.0,,,,0.0,0.066788954133284,3d,d,3.0,0.0653322992872437,0.8744902521600629,3d,d,3.0,0.8719034788752771,0.2294982079594907,3p,p,3.0,0.1867950870816575,0.1249790926406459,3p,p,3.0,0.1241779627140248,1.0,1.0,False,semiconductor,7.747592023148889,10.956749714870766,3.1391033799872696,4.744411797992994,6.278206759974537,2.339271477448113,4.744411797992994,4.67854295489623,0.220948,0.89,True,0.0,0.0,0.0,0.0,0.0,0.09,1.25,1.01,-0.56,0.0,True,-0.2704,-0.0450666666666666,-0.022535,-0.0225316666666666,-0.045065,-0.022535,-0.02253,-0.045065,-0.022535,-0.02253,-0.04507,-0.022535,-0.022535,0.02531,0.0042183333333333,0.00211,0.0021083333333333,0.00422,0.00211,0.00211,0.004215,0.00211,0.002105,0.00422,0.00211,0.00211,1.3540078411433826e-05,0.000110946745562,1.6666684396402936e-06,0.0011853022520742,-20.98336,-3.4972266666666667,-1.7486133333333331,-1.7486133333333334,-3.4972250000000003,-1.748615,-1.74861,-3.497245,-1.748625,-1.74862,-3.49721,-1.7486,-1.74861,3.80125,0.6335416666666667,0.31677,0.3167716666666667,0.63354,0.31677,0.31677,0.63354,0.31677,0.31677,0.633545,0.31677,0.316775,0.0007470428146183,1.0007930093180666e-05,0.0002045117498048,7.89214074322829e-06,-21.5,-2.39,-11.81,B1,B2,6s,s,6.0,0.7014946593833394,3d,d,3.0,0.8719034788752771,B-B,s-d
