comp,compID_num,comp_name_simple,comp_name_full,specie.A,specie.B1,specie.B2,specie.X,element.A,element.B1,element.B2,element.X,r_ionic.A,r_ionic.B1,r_ionic.B2,r_ionic.X,oct_factor,oct_mismatch,gen_t_factor,geom_stable,broken_condition,tau_factor,block.B1,row.B1,inputcharge.B1,block.B2,row.B2,inputcharge.B2,used_lobbasis,used_lobbasis_func,block_pairing
1000_CsAgLuCl,1000,CsAgLuCl,Cs2AgLuCl6,Cs+,Ag+,Lu3+,Cl-,Cs,Ag,Lu,Cl,188.0,115.0,86.1,181.0,0.555524861878453,0.0798342541436463,0.926125913280444,True,,3.787884461674983,d,5,1,d,6.0,3,basisset0,"{'Ag': ' 4d 5s', 'Lu': ' 4f 5d 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1001_CsAuVCl,1001,CsAuVCl,Cs2AuVCl6,Cs+,Au+,V3+,Cl-,Cs,Au,V,Cl,188.0,137.0,64.0,181.0,0.5552486187845304,0.2016574585635359,0.923028729604466,False,OL,3.787892444033926,d,6,1,d,4.0,3,basisset0,"{'Au': ' 5d 6s', 'V': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1002_CsNaPrCl,1002,CsNaPrCl,Cs2NaPrCl6,Cs+,Na+,Pr3+,Cl-,Cs,Na,Pr,Cl,188.0,102.0,99.0,181.0,0.5552486187845304,0.0082872928176795,0.926893606122717,True,,3.787892444033926,s,3,1,f,6.0,3,basisset0,"{'Na': ' 2p 3s', 'Pr': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1003_CsAgDyCl,1003,CsAgDyCl,Cs2AgDyCl6,Cs+,Ag2+,Dy2+,Cl-,Cs,Ag,Dy,Cl,188.0,94.0,107.0,181.0,0.5552486187845304,0.0359116022099447,0.926776660297142,True,,3.787892444033926,d,5,2,f,6.0,2,basisset0,"{'Ag': ' 4d 5s', 'Dy': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1004_CsMgNdCl,1004,CsMgNdCl,Cs2MgNdCl6,Cs+,Mg2+,Nd2+,Cl-,Cs,Mg,Nd,Cl,188.0,72.0,129.0,181.0,0.5552486187845304,0.1574585635359116,0.9245340455513692,False,OL,3.787892444033926,s,3,2,f,6.0,2,basisset0,"{'Mg': ' 3s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1005_CsVSmCl,1005,CsVSmCl,Cs2VSmCl6,Cs+,V2+,Sm2+,Cl-,Cs,V,Sm,Cl,188.0,79.0,122.0,181.0,0.5552486187845304,0.1187845303867403,0.9255513956311286,True,,3.787892444033926,d,4,2,f,6.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Sm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1006_CsPtAmCl,1006,CsPtAmCl,Cs2PtAmCl6,Cs+,Pt2+,Am2+,Cl-,Cs,Pt,Am,Cl,188.0,80.0,121.0,181.0,0.5552486187845304,0.1132596685082873,0.925673703461202,True,,3.787892444033926,d,6,2,f,7.0,2,basisset0,"{'Pt': ' 5d 6s', 'Am': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1007_CsAgYbCl,1007,CsAgYbCl,Cs2AgYbCl6,Cs+,Ag+,Yb3+,Cl-,Cs,Ag,Yb,Cl,188.0,115.0,86.8,181.0,0.5574585635359115,0.0779005524861878,0.9250066086542506,True,,3.787901400546411,d,5,1,f,6.0,3,basisset0,"{'Ag': ' 4d 5s', 'Yb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1008_CsSmPtCl,1008,CsSmPtCl,Cs2SmPtCl6,Cs+,Sm2+,Pt2+,Cl-,Cs,Sm,Pt,Cl,188.0,122.0,80.0,181.0,0.5580110497237569,0.1160220994475138,0.9239766551809908,True,,3.787929666055059,f,6,2,d,6.0,2,basisset0,"{'Sm': ' 4f 5p 5s 6s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1009_CsKVCl,1009,CsKVCl,Cs2KVCl6,Cs+,K+,V3+,Cl-,Cs,K,V,Cl,188.0,138.0,64.0,181.0,0.5580110497237569,0.2044198895027624,0.9213002118896342,False,OL,3.787929666055059,s,4,1,d,4.0,3,basisset0,"{'K': ' 3p 3s 4s', 'V': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1010_CsCaHgCl,1010,CsCaHgCl,Cs2CaHgCl6,Cs+,Ca2+,Hg2+,Cl-,Cs,Ca,Hg,Cl,188.0,100.0,102.0,181.0,0.5580110497237569,0.005524861878453,0.9252538368745804,True,,3.787929666055059,s,4,2,d,6.0,2,basisset0,"{'Ca': ' 3p 3s 4s', 'Hg': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1011_CsCaYbCl,1011,CsCaYbCl,Cs2CaYbCl6,Cs+,Ca2+,Yb2+,Cl-,Cs,Ca,Yb,Cl,188.0,100.0,102.0,181.0,0.5580110497237569,0.005524861878453,0.9252538368745804,True,,3.787929666055059,s,4,2,f,6.0,2,basisset0,"{'Ca': ' 3p 3s 4s', 'Yb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1012_CsNaPuCl,1012,CsNaPuCl,Cs2NaPuCl6,Cs+,Na+,Pu3+,Cl-,Cs,Na,Pu,Cl,188.0,102.0,100.0,181.0,0.5580110497237569,0.005524861878453,0.9252538368745804,True,,3.787929666055059,s,3,1,f,7.0,3,basisset0,"{'Na': ' 2p 3s', 'Pu': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1013_CsGeNdCl,1013,CsGeNdCl,Cs2GeNdCl6,Cs+,Ge2+,Nd2+,Cl-,Cs,Ge,Nd,Cl,188.0,73.0,129.0,181.0,0.5580110497237569,0.154696132596685,0.9229846942301222,False,OL,3.787929666055059,p,4,2,f,6.0,2,basisset0,"{'Ge': ' 3d 4p 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1014_CsCdDyCl,1014,CsCdDyCl,Cs2CdDyCl6,Cs+,Cd2+,Dy2+,Cl-,Cs,Cd,Dy,Cl,188.0,95.0,107.0,181.0,0.5580110497237569,0.0331491712707182,0.9251520489333748,True,,3.787929666055059,d,5,2,f,6.0,2,basisset0,"{'Cd': ' 4d 5s', 'Dy': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1015_CsCuNdCl,1015,CsCuNdCl,Cs2CuNdCl6,Cs+,Cu2+,Nd2+,Cl-,Cs,Cu,Nd,Cl,188.0,73.0,129.0,181.0,0.5580110497237569,0.154696132596685,0.9229846942301222,False,OL,3.787929666055059,d,4,2,f,6.0,2,basisset0,"{'Cu': ' 3d 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1016_CsNaNdCl,1016,CsNaNdCl,Cs2NaNdCl6,Cs+,Na+,Nd3+,Cl-,Cs,Na,Nd,Cl,188.0,102.0,98.3,181.0,0.5533149171270718,0.0102209944751381,0.9280440261524432,True,,3.7880210437909385,s,3,1,f,6.0,3,basisset0,"{'Na': ' 2p 3s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1017_CsAgAuCl,1017,CsAgAuCl,Cs2AgAuCl6,Cs+,Ag+,Au3+,Cl-,Cs,Ag,Au,Cl,188.0,115.0,85.0,181.0,0.5524861878453039,0.0828729281767955,0.9278887029354952,True,,3.7881150828654353,d,5,1,d,6.0,3,basisset0,"{'Ag': ' 4d 5s', 'Au': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1018_CsKGaCl,1018,CsKGaCl,Cs2KGaCl6,Cs+,K+,Ga3+,Cl-,Cs,K,Ga,Cl,188.0,138.0,62.0,181.0,0.5524861878453039,0.2099447513812154,0.924333152828578,False,OL,3.7881150828654353,s,4,1,p,4.0,3,basisset0,"{'K': ' 3p 3s 4s', 'Ga': ' 3d 4p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",p-s
1019_CsVAmCl,1019,CsVAmCl,Cs2VAmCl6,Cs+,V2+,Am2+,Cl-,Cs,V,Am,Cl,188.0,79.0,121.0,181.0,0.5524861878453039,0.1160220994475138,0.9272556878095012,True,,3.7881150828654353,d,4,2,f,7.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Am': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1020_CsPdEuCl,1020,CsPdEuCl,Cs2PdEuCl6,Cs+,Pd2+,Eu2+,Cl-,Cs,Pd,Eu,Cl,188.0,86.0,117.0,181.0,0.5607734806629834,0.0856353591160221,0.922924787365964,True,,3.788227447461536,d,5,2,f,6.0,2,basisset0,"{'Pd': ' 4d 5s', 'Eu': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1021_CsTiEuCl,1021,CsTiEuCl,Cs2TiEuCl6,Cs+,Ti2+,Eu2+,Cl-,Cs,Ti,Eu,Cl,188.0,86.0,117.0,181.0,0.5607734806629834,0.0856353591160221,0.922924787365964,True,,3.788227447461536,d,4,2,f,6.0,2,basisset0,"{'Ti': ' 3d 3p 3s 4s', 'Eu': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1022_CsNaNpCl,1022,CsNaNpCl,Cs2NaNpCl6,Cs+,Na+,Np3+,Cl-,Cs,Na,Np,Cl,188.0,102.0,101.0,181.0,0.5607734806629834,0.0027624309392265,0.9236183997081848,True,,3.788227447461536,s,3,1,f,7.0,3,basisset0,"{'Na': ' 2p 3s', 'Np': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1023_CsAgTmCl,1023,CsAgTmCl,Cs2AgTmCl6,Cs+,Ag+,Tm3+,Cl-,Cs,Ag,Tm,Cl,188.0,115.0,88.0,181.0,0.5607734806629834,0.0745856353591159,0.923092267152359,True,,3.788227447461536,d,5,1,f,6.0,3,basisset0,"{'Ag': ' 4d 5s', 'Tm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
