,Eform_avg,Eform_std,Ehull_avg,Ehull_std,MLIP_entries,Ehull <= 100meV,Ehull <= 150meV,Ehull <= 200meV
1000_CsAgLuCl,-1.918684686207847,0.11197452770515588,0.0,0.0,4,4,4,4
1001_CsAuVCl,-1.3350957880251224,0.111381004767985,0.24785957932425348,0.2031944107337212,4,0,2,3
1002_CsNaPrCl,-2.150775066997126,0.1496563266114174,0.0011669874175264,0.0018427464204864338,4,4,4,4
1003_CsAgDyCl,-1.917249156022744,0.10706746942000746,0.0,0.0,4,4,4,4
1004_CsMgNdCl,-1.969830111647254,0.13834980064164873,0.12120576649990954,0.022320560022173364,4,1,4,4
1005_CsVSmCl,-1.8155890236125312,0.169788896217993,0.17056080252046302,0.0417658019915071,4,0,1,4
1006_CsPtAmCl,,,,,0,0,0,0
1007_CsAgYbCl,-1.800209038938259,0.18223301984237206,0.031050327420235474,0.03605772588155211,4,4,4,4
1008_CsSmPtCl,-1.6128253052483426,0.10824249214772996,0.26157590150894805,0.008469712183958868,4,0,0,0
1009_CsKVCl,-1.7859030822731343,0.12404157931246809,0.007530549168512901,0.0050360047473260415,4,4,4,4
1010_CsCaHgCl,-1.765190028631959,0.10312952162984729,0.026265260660255002,0.005386957653713497,4,4,4,4
1011_CsCaYbCl,-2.2962003583568706,0.13715325051517685,0.01655753950339362,0.031268469114998594,4,4,4,4
1012_CsNaPuCl,-2.0297097662933394,0.17402033513203383,0.0,0.0,4,4,4,4
1013_CsGeNdCl,-1.6959983001016554,0.08831148850537605,0.2352501869184897,0.013278266493820466,4,0,0,0
1014_CsCdDyCl,-1.8761323715078746,0.10122411689573668,0.11001248148836376,0.006787934264755847,4,0,4,4
1015_CsCuNdCl,-1.8500119040267302,0.11598557939137363,0.0354673042897769,0.006172360860638034,4,4,4,4
1016_CsNaNdCl,-2.157566059614114,0.15248081862036442,0.0,0.0,4,4,4,4
1017_CsAgAuCl,-1.0804500530018402,0.07790589832324217,0.13689312934710016,0.17207554571265876,4,3,3,3
1018_CsKGaCl,-1.7074487308503747,0.0940515498480234,0.04423045366775118,0.012364454957752392,4,4,4,4
1019_CsVAmCl,,,,,0,0,0,0
1020_CsPdEuCl,-1.717577106739927,0.11888178992709862,0.0353718727848555,0.01929131352533579,4,4,4,4
1021_CsTiEuCl,-2.0091189056488528,0.14246786914291146,0.041890437239340675,0.019242112593865632,4,4,4,4
1022_CsNaNpCl,-1.9694423834313879,0.21064959630994692,0.0,0.0,4,4,4,4
1023_CsAgTmCl,-1.9182082245610057,0.10691191936927384,0.0,0.0,4,4,4,4
1024_CsZnNdCl,-1.82449347772749,0.09851677372775504,0.16360635037212762,0.013963485266244738,4,0,0,4
1025_CsNaCeCl,-2.1445417354362,0.16644944118817212,0.0,0.0,4,4,4,4
1026_CsCaTmCl,-2.148550022626237,0.17222177108861847,0.09220087180615662,0.0550460328544904,4,1,4,4
1027_CsNaAmCl,,,,,0,0,0,0
1028_CsKCrCl,-1.7552654305946473,0.1414982767378439,0.0037079513050281747,0.0029393251602336263,4,4,4,4
1029_CsKMnCl,-1.6720138934679412,0.12869399895539163,0.020796041187477975,0.002313929179317874,4,4,4,4
1030_CsAgTlCl,-1.272504086283689,0.08732990703982912,0.0,0.0,4,4,4,4
1031_CsAuRhCl,-1.0795520911451897,0.08740316090451981,0.1851684168007442,0.2155289480931358,4,3,3,3
1032_CsTlAlCl,-1.696104748038037,0.09209957325799448,0.03526885956750408,0.008382625324618545,4,4,4,4
1033_CsPtPbCl,-1.2327633927124744,0.08016440232968607,0.14312873482778718,0.006280490120157718,4,0,3,4
1034_CsHgInCl,-1.3860961789736488,0.08649812040702856,0.059297120943896345,0.0073384635309791755,4,4,4,4
1035_CsNaCmCl,,,,,0,0,0,0
1036_CsAuGaCl,-1.269315768265609,0.08444886969402005,0.26108376085845747,0.21589879549712987,4,0,1,3
1037_CsNaPmCl,-2.1636755386838464,0.1533571919202991,0.0,0.0,4,4,4,4
1038_CsCoNdCl,-1.7791747907636895,0.1495194081521363,0.12747099871568474,0.022276645683434147,4,1,4,4
1039_CsYbHgCl,-1.797765292460039,0.0937278091246983,0.06665817664699741,0.04629132906945653,4,2,4,4
1040_CsNiBaCl,-1.7702311376585387,0.1431710181436846,0.06472022533615458,0.001213165312319601,4,4,4,4
1041_CsSrPdCl,-1.6910844306023163,0.11418077965239744,0.09530044496168305,0.019640126002556206,4,1,4,4
1042_CsAuTiCl,-1.4758347600543535,0.10129803317100446,0.3157398104665206,0.1603170326568139,4,0,0,0
1043_CsTlCuCl,-1.264554668453867,0.08817323543798981,0.008277188739331075,0.003276412603231514,4,4,4,4
1044_CsTiSrCl,-2.0282013058524218,0.13706009294637936,0.0483145215443252,0.01753674318023611,4,4,4,4
1045_CsHgAuCl,-1.0905240001601997,0.07271150034521408,0.16407775448511025,0.18624858342769834,4,3,3,3
1046_CsAgErCl,-1.9193572232959182,0.10920796666452352,0.0,0.0,4,4,4,4
1047_CsMnNdCl,-1.8173193631007227,0.1572338057097417,0.16821182729876424,0.021424456830258464,4,0,1,4
1048_CsAgNpCl,-1.7139781693483416,0.17167222439630955,0.08203252553781823,0.013448957485142046,4,4,4,4
1049_CsAuCrCl,-1.3073161194538925,0.12983414041124405,0.22876575440422328,0.2092142787026055,4,0,3,3
1050_CsFeNdCl,-1.760632015253481,0.13945270266682394,0.16774894230887577,0.020135263288220018,4,0,1,4
1051_CsCrSmCl,-1.8443716058971575,0.1595448816291762,0.12215453336727461,0.035061482477894715,4,1,4,4
1052_CsAuMnCl,-1.294959819061687,0.1251614852840597,0.18229139447136786,0.21039733798528984,4,3,3,3
1053_CsNaUCl,-1.925772810958586,0.1881026830767191,0.0,0.0,4,4,4,4
1054_CsFeBaCl,-1.806818244840859,0.13474335032053106,0.06709681749424384,0.0068041333444166215,4,4,4,4
1055_CsKRhCl,-1.5154143075016047,0.09275367109660443,0.0,0.0,4,4,4,4
1056_CsNiNdCl,-1.7732190976414122,0.13243590620754797,0.13295064568336107,0.006324327668808889,4,0,4,4
1057_CsVPbCl,-1.5762606034519042,0.13660695590604174,0.02654277980179585,0.005580616767932136,4,4,4,4
1058_CsSrPtCl,-1.5944434682392434,0.10845482130002089,0.17905122488802858,0.01456887128037868,4,0,0,4
1059_CsCdTmCl,-1.8787963333065798,0.10264105023171745,0.10695932470336907,0.0033354689939186655,4,0,4,4
