comp,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts,popdiff.total,popdiff.B1,popdiff.B2,charge.B1,charge.B2,charge.A,charge.X,charge.total,charge.balanced,Icohp.B1.sum,Icohp.B1.avg,Icohp.B1.avg_spinup,Icohp.B1.avg_spindown,Icohp.B1.x_avg,Icohp.B1.x_spinup,Icohp.B1.x_spindown,Icohp.B1.y_avg,Icohp.B1.y_spinup,Icohp.B1.y_spindown,Icohp.B1.z_avg,Icohp.B1.z_spinup,Icohp.B1.z_spindown,Icobi.B1.sum,Icobi.B1.avg,Icobi.B1.avg_spinup,Icobi.B1.avg_spindown,Icobi.B1.x_avg,Icobi.B1.x_spinup,Icobi.B1.x_spindown,Icobi.B1.y_avg,Icobi.B1.y_spinup,Icobi.B1.y_spindown,Icobi.B1.z_avg,Icobi.B1.z_spinup,Icobi.B1.z_spindown,Icohp.B1.axial_asym_index,Icohp.B1.directional_asym_index,Icobi.B1.axial_asym_index,Icobi.B1.directional_asym_index,Icohp.B2.sum,Icohp.B2.avg,Icohp.B2.avg_spinup,Icohp.B2.avg_spindown,Icohp.B2.x_avg,Icohp.B2.x_spinup,Icohp.B2.x_spindown,Icohp.B2.y_avg,Icohp.B2.y_spinup,Icohp.B2.y_spindown,Icohp.B2.z_avg,Icohp.B2.z_spinup,Icohp.B2.z_spindown,Icobi.B2.sum,Icobi.B2.avg,Icobi.B2.avg_spinup,Icobi.B2.avg_spindown,Icobi.B2.x_avg,Icobi.B2.x_spinup,Icobi.B2.x_spindown,Icobi.B2.y_avg,Icobi.B2.y_spinup,Icobi.B2.y_spindown,Icobi.B2.z_avg,Icobi.B2.z_spinup,Icobi.B2.z_spindown,Icohp.B2.axial_asym_index,Icohp.B2.directional_asym_index,Icobi.B2.axial_asym_index,Icobi.B2.directional_asym_index,MadelungEnergy,SitePotential.B1,SitePotential.B2
1000_CsAgLuCl,1.07,True,0.0054,0.0,0.0,0.0,0.0,0.51,0.84,1.02,-0.56,0.03,True,-5.22009,-0.870015,-0.4349816666666666,-0.4350333333333333,-0.8700049999999999,-0.434975,-0.43503,-0.8700399999999999,-0.435005,-0.435035,-0.87,-0.434965,-0.435035,0.67493,0.1124883333333333,0.0562433333333333,0.056245,0.112485,0.05624,0.056245,0.1124899999999999,0.056245,0.056245,0.11249,0.056245,0.056245,0.0003665346283645,4.5976218800743645e-05,5.737313614030048e-05,4.444905397601233e-05,-24.05146,-4.0085766666666665,-2.00431,-2.004266666666666,-4.00867,-2.00447,-2.0042,-4.00888,-2.00469,-2.0041900000000004,-4.00818,-2.0037700000000003,-2.00441,3.33142,0.5552366666666666,0.2776216666666666,0.277615,0.55525,0.27763,0.27762,0.555255,0.27764,0.277615,0.555205,0.277595,0.27761,0.0004786324589526,0.0001746255736656,5.77831373036655e-05,9.005168967006056e-05,-19.29,-5.92,-8.22
1001_CsAuVCl,0.615,False,,,-1.98,0.02,-2.06,0.48,1.16,1.01,-0.61,0.0,True,-5.979970000000001,-0.9966616666666668,-0.4956849999999999,-0.5009766666666666,-0.994985,-0.49529,-0.499695,-0.995485,-0.49521,-0.500275,-0.999515,-0.496555,-0.5029600000000001,0.7905900000000001,0.131765,0.0658649999999999,0.0659,0.13149,0.0657649999999999,0.065725,0.13157,0.065775,0.0657949999999999,0.132235,0.066055,0.06618,4.675588295655891e-05,0.004545173303545,7.63762874349073e-06,0.0056540052365954,-16.49701,-2.7495016666666667,-1.425315,-1.3241866666666668,-2.753215,-1.426045,-1.32717,-2.7521750000000003,-1.426195,-1.32598,-2.7431150000000004,-1.423705,-1.31941,2.4813,0.41355,0.2091066666666666,0.2044433333333333,0.413995,0.20926,0.204735,0.413845,0.209225,0.20462,0.41281,0.208835,0.203975,0.000150729573487,0.003673392936053,4.183296438970177e-05,0.0028654334421472,-24.55,-5.91,-11.14
1002_CsNaPrCl,1.07,True,0.0,0.0,2.01,0.01,1.99,0.53,2.33,1.03,-0.82,0.0,True,-4.862500000000001,-0.8104166666666668,-0.4019983333333334,-0.4084183333333333,-0.81141,-0.40234,-0.40907,-0.80968,-0.401815,-0.407865,-0.81016,-0.40184,-0.40832,0.5793800000000001,0.0965633333333333,0.04826,0.0483033333333333,0.0967,0.048295,0.048405,0.0964,0.04821,0.04819,0.09659,0.048275,0.048315,0.0004605313074359,0.0021347043701799,0.0001046688382108,0.003106769305119,-7.11854,-1.1864233333333334,-0.5918816666666666,-0.5945416666666666,-1.165175,-0.5717000000000001,-0.593475,-1.19697,-0.60197,-0.595,-1.1971250000000002,-0.601975,-0.5951500000000001,0.90673,0.1511216666666666,0.0766466666666666,0.074475,0.144295,0.07195,0.0723449999999999,0.15454,0.079,0.07554,0.15453,0.07899,0.07554,0.0001738931304305,0.0269296794005513,2.8136540021074864e-05,0.0677930585731144,-45.24,-8.17,-16.52
1003_CsAgDyCl,1.115,True,0.0,0.0,4.97,0.01,4.96,0.51,2.38,1.02,-0.82,0.01,True,-5.205299999999999,-0.8675499999999999,-0.4304466666666666,-0.4371033333333334,-0.86684,-0.42985,-0.43699,-0.8663399999999999,-0.429465,-0.436875,-0.8694700000000001,-0.432025,-0.437445,0.6677,0.1112833333333333,0.05564,0.0556433333333333,0.11112,0.0555299999999999,0.05559,0.110865,0.055385,0.05548,0.1118649999999999,0.056005,0.05586,0.0003389851910221,0.0036078612183737,4.301159800440442e-05,0.0089860715890368,-7.21223,-1.202038333333333,-0.5696433333333334,-0.6323949999999999,-1.20369,-0.56912,-0.63457,-1.2049150000000002,-0.568755,-0.6361600000000001,-1.19751,-0.571055,-0.626455,0.7490300000000001,0.1248383333333333,0.0585383333333333,0.0663,0.125065,0.058495,0.06657,0.125245,0.05849,0.066755,0.124205,0.05863,0.065575,1.572328959524815e-05,0.006160369261657,5.52770366268987e-06,0.0083307744683123,-47.66,-8.0,-17.52
1004_CsMgNdCl,1.025,True,0.0002,0.0,-3.99,0.0,-3.99,1.47,1.45,1.02,-0.83,-0.02,True,-6.4617,-1.07695,-0.5439833333333334,-0.5329666666666667,-1.076825,-0.5440050000000001,-0.53282,-1.077055,-0.54434,-0.532715,-1.0769700000000002,-0.543605,-0.5333650000000001,0.74594,0.1243233333333333,0.0622433333333333,0.06208,0.12429,0.062245,0.062045,0.124265,0.062255,0.0620099999999999,0.124415,0.06223,0.062185,0.0003377784855046,0.0002135660894191,4.68448691706799e-05,0.0012065313564093,-6.0939,-1.01565,-0.5115466666666667,-0.5041033333333335,-1.01604,-0.511185,-0.504855,-1.0167199999999998,-0.51142,-0.5053000000000001,-1.01419,-0.512035,-0.502155,0.61842,0.10307,0.0519666666666666,0.0511033333333333,0.10307,0.051925,0.0511449999999999,0.1030399999999999,0.051925,0.051115,0.1031,0.05205,0.05105,0.0006774121853805,0.0024910156057694,0.0001470447071153,0.0005821286504317,-43.87,-14.23,-11.86
1005_CsVSmCl,0.91,True,0.0029,0.0,1.01,2.98,-1.97,0.94,1.44,1.03,-0.7400000000000001,-0.0,True,-12.01173,-2.001955,-0.9801816666666666,-1.0217733333333332,-2.000115,-0.9803,-1.019815,-2.0032300000000003,-0.98062,-1.02261,-2.00252,-0.979625,-1.022895,1.57314,0.26219,0.1298933333333333,0.1322966666666667,0.26193,0.1298099999999999,0.13212,0.262355,0.130005,0.13235,0.262285,0.129865,0.1324199999999999,0.000181421687464,0.0015559790304977,2.39211449455132e-05,0.0016209618978603,-6.5850800000000005,-1.0975133333333331,-0.5523250000000001,-0.5451883333333333,-1.09302,-0.554395,-0.538625,-1.100225,-0.5546,-0.545625,-1.099295,-0.54798,-0.551315,0.64245,0.1070749999999999,0.0536383333333333,0.0534366666666666,0.106075,0.053645,0.05243,0.10772,0.05408,0.05364,0.10743,0.05319,0.05424,0.0005143338739868,0.0065648405182626,7.143379005995378e-05,0.0153630632734064,-34.41,-10.74,-11.6
1006_CsPtAmCl,0.865,True,0.0918,0.0,5.01,-0.94,6.35,0.4,0.39,1.02,-0.4699999999999999,0.01,True,-9.00503,-1.5008383333333333,-0.9222566666666668,-0.5785816666666665,-1.58739,-1.024045,-0.563345,-1.58707,-1.02367,-0.5634,-1.328055,-0.719055,-0.609,1.02616,0.1710266666666666,0.1026766666666666,0.06835,0.18323,0.11571,0.06752,0.183185,0.11566,0.067525,0.146665,0.07666,0.070005,0.0001091508227149,0.1727934276732003,9.718258546018364e-06,0.2137970686832463,-24.56629,-4.094381666666666,-2.047758333333334,-2.046623333333333,-4.05112,-2.0087650000000004,-2.042355,-4.05192,-2.009315,-2.042605,-4.180104999999999,-2.125195,-2.05491,3.49002,0.58167,0.2946833333333333,0.2869866666666666,0.56068,0.279015,0.281665,0.560725,0.27905,0.281675,0.623605,0.3259849999999999,0.29762,0.0009901756411232,0.0315029253501442,0.0001903068259923,0.1081798958172159,-13.45,-5.28,-4.63
1007_CsAgYbCl,1.11,True,0.0001,0.0,0.98,0.01,0.97,0.53,2.36,1.02,-0.82,0.01,True,-5.2385,-0.8730833333333333,-0.4352733333333333,-0.43781,-0.8738699999999999,-0.435515,-0.438355,-0.87324,-0.4352749999999999,-0.437965,-0.8721399999999999,-0.43503,-0.43711,0.66655,0.1110916666666666,0.0555266666666666,0.0555649999999999,0.1114749999999999,0.05567,0.0558049999999999,0.111155,0.055545,0.05561,0.110645,0.055365,0.0552799999999999,0.0002506440289635,0.0019814832490216,2.682250576287248e-05,0.0074713074788086,-7.39977,-1.233295,-0.60555,-0.627745,-1.227145,-0.605505,-0.62164,-1.2321,-0.605765,-0.626335,-1.24064,-0.60538,-0.6352599999999999,0.77175,0.128625,0.061915,0.06671,0.127625,0.0619,0.065725,0.12841,0.06194,0.06647,0.12984,0.061905,0.067935,8.97528476997017e-06,0.0109422319882915,3.726784152714848e-06,0.0172206025267251,-48.17,-7.99,-17.76
1008_CsSmPtCl,1.075,True,0.0,0.0,-4.01,-5.29,0.98,2.02,0.43,1.02,-0.7533333333333333,-0.03,True,-7.030090000000001,-1.171681666666667,-0.5823349999999999,-0.5893466666666667,-1.16977,-0.58839,-0.58138,-1.145515,-0.58127,-0.564245,-1.1997600000000002,-0.577345,-0.6224149999999999,0.7819699999999999,0.1303283333333333,0.0617649999999999,0.0685633333333333,0.122475,0.0613,0.0611749999999999,0.119415,0.0601,0.059315,0.1490949999999999,0.063895,0.0852,0.0004531530504964,0.0462967045941091,5.951197094529593e-05,0.2277325217079938,-8.06004,-1.3433400000000002,-0.52288,-0.8204600000000001,-1.391745,-0.5045999999999999,-0.8871450000000001,-1.43447,-0.5017050000000001,-0.932765,-1.203805,-0.562335,-0.64147,0.9655,0.1609166666666666,0.0647233333333333,0.0961933333333333,0.168335,0.063135,0.1052,0.17415,0.0622999999999999,0.11185,0.140265,0.0687349999999999,0.07153,0.0009284609178824,0.1717100659550077,0.0001484924918449,0.210574831693423,-37.72,-14.73,-7.7
1009_CsKVCl,0.53,True,0.0003,0.0,-1.97,0.0,-2.03,0.63,1.2,1.03,-0.6466666666666666,0.01,True,-4.64725,-0.7745416666666666,-0.3869083333333332,-0.3876333333333333,-0.7746,-0.3859249999999999,-0.388675,-0.771315,-0.384295,-0.38702,-0.77771,-0.390505,-0.387205,0.4855,0.0809166666666666,0.0405349999999999,0.0403816666666666,0.081155,0.040595,0.04056,0.08004,0.0400149999999999,0.040025,0.081555,0.040995,0.04056,0.0003663523130207,0.0082564957770725,5.244046748640226e-05,0.0187229660144181,-16.986159999999998,-2.8310266666666664,-1.4658033333333331,-1.3652233333333337,-2.8073550000000003,-1.463105,-1.34425,-2.88204,-1.4759799999999998,-1.40606,-2.803685,-1.458325,-1.34536,2.61633,0.436055,0.2202816666666666,0.2157733333333333,0.42615,0.216795,0.209355,0.456275,0.22746,0.228815,0.42574,0.21659,0.20915,0.0005281878761681,0.0276772384105649,0.0001148547956004,0.0700255701689006,-26.38,-5.87,-12.23
