comp,lattice_a_primitive,lattice_a_conventional,distance_B1_X,distance_B1_A,size_Oh_B1,distance_B2_X,distance_B2_A,size_Oh_B2,calc_oct_mismatch
1000_CsAgLuCl,7.401717816808111,10.467609721388603,2.6834245188768007,4.5326079678117415,5.366849037753599,2.550380341817502,4.5326079678117415,5.100760683635007,0.036753
1001_CsAuVCl,7.147659891747178,10.108317558139069,2.671120750326348,4.377029897434359,5.342241500652696,2.3830380287431865,4.377029897434359,4.766076057486374,0.079581
1002_CsNaPrCl,7.683433925652886,10.866016463255862,2.717221387128648,4.705123147559758,5.434442774257294,2.7157868444992834,4.705123147559758,5.431573688998568,0.000396
1003_CsAgDyCl,7.470747532307853,10.565232481255098,2.6786379698686917,4.574879862827706,5.357275939737384,2.6039782707588577,4.574879862827706,5.2079565415177145,0.020624
1004_CsMgNdCl,7.424513157132136,10.499847200833752,2.481588410860521,4.546567205888479,4.963176821721043,2.768335189556355,4.546567205888479,5.536670379112708,0.079212
1005_CsVSmCl,7.305374696570936,10.331359974107851,2.4747981637764798,4.47361009660957,4.94959632755296,2.6908818232774463,4.47361009660957,5.381763646554893,0.059692
1006_CsPtAmCl,7.383852600837287,10.442344490667942,2.545391891837638,4.521667801993456,5.090783783675276,2.675780353496333,4.521667801993456,5.351560706992666,0.036019
1007_CsAgYbCl,7.415990653345533,10.487794560393365,2.6824246951111954,4.541348259486451,5.36484939022239,2.561472585085486,4.541348259486451,5.122945170170972,0.033412
1008_CsSmPtCl,7.42961930180082,10.507068379875646,2.6666331391742766,4.549694068136257,5.333266278348556,2.5869010507635464,4.549694068136257,5.17380210152709,0.022025
1009_CsKVCl,7.487027035427567,10.588255175355693,2.937441573557805,4.584848981805043,5.874883147115609,2.356686014120042,4.584848981805043,4.713372028240084,0.16043
1010_CsCaHgCl,7.521686700276931,10.63727134345297,2.6761954507669543,4.606073605189248,5.3523909015339095,2.6424402209595304,4.606073605189248,5.284880441919061,0.009325
1011_CsCaYbCl,7.457746524661829,10.546846279917574,2.6873697215330568,4.5669184041090105,5.3747394430661135,2.58605341842573,4.5669184041090105,5.17210683685146,0.027988
1012_CsNaPuCl,7.606089128012091,10.756634401453248,2.71691137573735,4.6577593254400655,5.4338227514747,2.6614058249892736,4.6577593254400655,5.322811649978547,0.015333
1013_CsGeNdCl,7.746847732307558,10.955697128668604,2.764389767235432,4.743956014797622,5.528779534470862,2.7134587970988706,4.743956014797622,5.426917594197743,0.014069
1014_CsCdDyCl,7.706348481581188,10.898422539025423,2.842819225477573,4.71915538998646,5.685638450955147,2.6063920440351387,4.71915538998646,5.2127840880702765,0.065311
