comp,spin,VBM,CBM,bandgap,VBMtotcontr.A,VBMorbital.A,VBMorbchar.A,VBMorborder.A,VBMorbcontr.A,CBMtotcontr.A,CBMorbital.A,CBMorbchar.A,CBMorborder.A,CBMorbcontr.A,VBMtotcontr.B1,VBMorbital.B1,VBMorbchar.B1,VBMorborder.B1,VBMorbcontr.B1,CBMtotcontr.B1,CBMorbital.B1,CBMorbchar.B1,CBMorborder.B1,CBMorbcontr.B1,VBMtotcontr.B2,VBMorbital.B2,VBMorbchar.B2,VBMorborder.B2,VBMorbcontr.B2,CBMtotcontr.B2,CBMorbital.B2,CBMorbchar.B2,CBMorborder.B2,CBMorbcontr.B2,VBMtotcontr.X,VBMorbital.X,VBMorbchar.X,VBMorborder.X,VBMorbcontr.X,CBMtotcontr.X,CBMorbital.X,CBMorbchar.X,CBMorborder.X,CBMorbcontr.X,spin_vbm,spin_cbm,spin_forbidden,cond_type
1000_CsAgLuCl,1,-5.28413,0.04915,5.33328,0.0,,,,0.0,0.0137313921929794,5s,s,5.0,0.010576026088588,0.4897923265193758,4d,d,4.0,0.4888377654884069,0.5036614403162766,5s,s,5.0,0.5029611287436939,0.0361060648857752,5d,d,5.0,0.023741363068704,0.2562902513986411,5d,d,5.0,0.1276179100059989,0.4738414432188529,3p,p,3.0,0.4570596652620078,0.226232350166357,3s,s,3.0,0.1719912368559446,,,,insulator
1000_CsAgLuCl,-1,-5.28413,0.04915,5.33328,0.0,,,,0.0,0.0137348403945991,5s,s,5.0,0.0105786819205515,0.4897891117937848,4d,d,4.0,0.4888344298625312,0.5036531080495258,5s,s,5.0,0.502952620616006,0.0360895006424172,5d,d,5.0,0.0237248066959079,0.2562832401112321,5d,d,5.0,0.1276155936432748,0.4738622841919485,3p,p,3.0,0.4570840862136001,0.226149063725853,3s,s,3.0,0.1719075462321706,,,,insulator
1000_CsAgLuCl,combined,-5.28413,0.04915,5.33328,0.0,,,,0.0,0.0137313921929794,5s,s,5.0,0.010576026088588,0.4897923265193758,4d,d,4.0,0.4888377654884069,0.5036614403162766,5s,s,5.0,0.5029611287436939,0.0361060648857752,5d,d,5.0,0.023741363068704,0.2562902513986411,5d,d,5.0,0.1276179100059989,0.4738414432188529,3p,p,3.0,0.4570596652620078,0.226232350166357,3s,s,3.0,0.1719912368559446,1.0,1.0,False,insulator
1001_CsAuVCl,1,-2.31513,0.77171,3.08684,0.0,,,,0.0,0.0,,,,0.0,0.5350030467033562,5d,d,5.0,0.53397385601017,0.1787055333234168,6s,s,6.0,0.1761560157830949,0.0594414823076713,3d,d,3.0,0.0544219174442563,0.7018396002474556,3d,d,3.0,0.6987848076726676,0.4048459419802511,3p,p,3.0,0.3851365158352464,0.1176224268998836,3p,p,3.0,0.069146209288508,,,,semiconductor
1001_CsAuVCl,-1,-2.28487,0.01513,2.3000000000000003,0.0,,,,0.0,0.0,,,,0.0,0.3981844887477702,5d,d,5.0,0.3973208582898932,0.0399656692427083,6s,s,6.0,0.0366508750651772,0.2190183686415266,3d,d,3.0,0.214542136260204,0.8502202299292809,3d,d,3.0,0.8487438274295973,0.3810563899061455,3p,p,3.0,0.3669078707352495,0.1088661284370945,3p,p,3.0,0.0958645514820453,,,,semiconductor
1001_CsAuVCl,combined,-2.28487,0.01513,2.3000000000000003,0.0,,,,0.0,0.0,,,,0.0,0.3981844887477702,5d,d,5.0,0.3973208582898932,0.0399656692427083,6s,s,6.0,0.0366508750651772,0.2190183686415266,3d,d,3.0,0.214542136260204,0.8502202299292809,3d,d,3.0,0.8487438274295973,0.3810563899061455,3p,p,3.0,0.3669078707352495,0.1088661284370945,3p,p,3.0,0.0958645514820453,-1.0,-1.0,False,semiconductor
1002_CsNaPrCl,1,-4.81392,0.0089,4.82282,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.7663427894009844,4f,f,4.0,0.7656139549593337,0.9801161205202498,4f,f,4.0,0.9795327861809288,0.233040889765627,3p,p,3.0,0.2327959139197446,0.0194280855715616,3p,p,3.0,0.0183638941463064,,,,insulator
1002_CsNaPrCl,-1,-5.24993,1.30803,6.55796,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0644944183053051,3s,s,3.0,0.0644857682305784,0.0,,,,0.0,0.8911638238786928,4f,f,4.0,0.8390967268656091,0.9881826391495608,3p,p,3.0,0.9878843446158896,0.0425297798675097,3p,p,3.0,0.022676681392308,,,,insulator
1002_CsNaPrCl,combined,-4.81392,0.0089,4.82282,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.7663427894009844,4f,f,4.0,0.7656139549593337,0.9801161205202498,4f,f,4.0,0.9795327861809288,0.233040889765627,3p,p,3.0,0.2327959139197446,0.0194280855715616,3p,p,3.0,0.0183638941463064,1.0,1.0,False,insulator
1003_CsAgDyCl,1,-4.36512,0.9797,5.34482,0.0,,,,0.0,0.0124725841893112,5p,p,5.0,0.0064702182251919,0.4992673358106476,4d,d,4.0,0.4981781379956279,0.3695215187549348,5s,s,5.0,0.3677378813861003,0.0,,,,0.0,0.3622084238371754,6s,s,6.0,0.3525979388903733,0.4917370817311204,3p,p,3.0,0.4806238541507035,0.2557957351655993,3s,s,3.0,0.1443833790941615,,,,insulator
1003_CsAgDyCl,-1,-4.35424,0.01089,4.36513,0.0,,,,0.0,0.0,,,,0.0,0.5009071849474612,4d,d,4.0,0.4999439697952901,0.0,,,,0.0,0.0203164293686731,4f,f,4.0,0.0131064768524125,0.9843244619537344,4f,f,4.0,0.9837954081412004,0.4786102026185408,3p,p,3.0,0.4674321606132814,0.0120738722069522,3p,p,3.0,0.0106895703207594,,,,insulator
