comp,basisset#,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts
1000_CsAgLuCl,basisset0,1.07,True,0.0054,0.0
1001_CsAuVCl,basisset0,0.615,False,NaN,NaN
1002_CsNaPrCl,basisset0,1.07,True,0.0,0.0
1003_CsAgDyCl,basisset0,1.115,True,0.0,0.0
1004_CsMgNdCl,basisset0,1.025,True,0.0002,0.0
1005_CsVSmCl,basisset0,0.91,True,0.0029,0.0
1006_CsPtAmCl,basisset0,0.865,True,0.0918,0.0
1006_CsPtAmCl,basisset1,0.825,True,0.0101,0.0
1007_CsAgYbCl,basisset0,1.11,True,0.0001,0.0
1008_CsSmPtCl,basisset0,1.075,True,0.0,0.0
1009_CsKVCl,basisset0,0.53,True,0.0003,0.0
1010_CsCaHgCl,basisset0,0.73,False,NaN,NaN
1011_CsCaYbCl,basisset0,1.05,True,0.0,0.0
1012_CsNaPuCl,basisset0,0.73,True,0.0,0.0
1013_CsGeNdCl,basisset0,0.92,True,0.0,0.0
1014_CsCdDyCl,basisset0,1.215,False,NaN,NaN
1015_CsCuNdCl,basisset0,1.13,True,0.0006,0.0
1016_CsNaNdCl,basisset0,1.06,False,NaN,NaN
1017_CsAgAuCl,basisset0,0.65,True,0.0,0.0
1018_CsKGaCl,basisset0,0.6,True,0.4984,1.3889
1019_CsVAmCl,basisset0,0.845,False,NaN,NaN
1020_CsPdEuCl,basisset0,0.965,True,0.0023,0.0
1021_CsTiEuCl,basisset0,0.965,True,0.0,0.0
1022_CsNaNpCl,basisset0,0.725,False,NaN,NaN
1023_CsAgTmCl,basisset0,1.105,False,NaN,NaN
1024_CsZnNdCl,basisset0,1.155,True,0.0001,0.0
1025_CsNaCeCl,basisset0,0.565,False,NaN,NaN
1026_CsCaTmCl,basisset0,1.05,False,NaN,NaN
1027_CsNaAmCl,basisset0,0.73,True,0.0,0.0
1028_CsKCrCl,basisset0,0.52,True,0.0041,0.0
1029_CsKMnCl,basisset0,0.51,True,0.0032,0.0
1030_CsAgTlCl,basisset0,0.6,True,0.0,0.0
1031_CsAuRhCl,basisset0,0.62,True,0.0,0.0
1032_CsTlAlCl,basisset0,1.01,True,0.0702,0.0
1033_CsPtPbCl,basisset0,0.92,False,NaN,NaN
1034_CsHgInCl,basisset0,1.055,True,0.0001,0.0
1035_CsNaCmCl,basisset0,0.81,True,0.0019,0.0
1036_CsAuGaCl,basisset0,0.7,False,NaN,NaN
1037_CsNaPmCl,basisset0,1.06,False,NaN,NaN
1038_CsCoNdCl,basisset0,1.38,True,0.0001,0.0
1039_CsYbHgCl,basisset0,1.265,False,NaN,NaN
1040_CsNiBaCl,basisset0,0.88,True,1.4899,4.1667
1040_CsNiBaCl,basisset1,0.9,True,0.7195,4.1667
1041_CsSrPdCl,basisset0,0.705,True,0.0122,0.0
1042_CsAuTiCl,basisset0,0.67,False,NaN,NaN
1043_CsTlCuCl,basisset0,0.855,True,0.0003,0.0
1044_CsTiSrCl,basisset0,0.795,True,0.0003,0.0
1045_CsHgAuCl,basisset0,0.745,False,NaN,NaN
1046_CsAgErCl,basisset0,1.085,True,0.0023,0.0
1047_CsMnNdCl,basisset0,0.92,True,0.0004,0.0
1048_CsAgNpCl,basisset0,0.735,True,0.0946,0.0
1048_CsAgNpCl,basisset1,0.675,True,0.0394,0.0
1049_CsAuCrCl,basisset0,0.605,True,0.0003,0.0
1050_CsFeNdCl,basisset0,1.19,True,0.0015,0.0
1051_CsCrSmCl,basisset0,0.855,False,NaN,NaN
1052_CsAuMnCl,basisset0,0.625,False,NaN,NaN
1053_CsNaUCl,basisset0,0.705,False,NaN,NaN
1054_CsFeBaCl,basisset0,0.895,True,0.0105,0.0
1055_CsKRhCl,basisset0,0.53,True,0.0,0.0
1056_CsNiNdCl,basisset0,1.3,True,0.0008,0.0
1057_CsVPbCl,basisset0,0.82,True,0.0,0.0
1058_CsSrPtCl,basisset0,0.77,True,0.0001,0.0
1059_CsCdTmCl,basisset0,1.145,False,NaN,NaN
1060_CsCoBaCl,basisset0,0.89,True,0.0216,0.0
1061_CsCuThCl,basisset0,1.175,True,0.0024,0.0
1062_CsNaSmCl,basisset0,1.045,False,NaN,NaN
1063_CsKFeCl,basisset0,0.62,True,0.0053,0.0
1064_CsTiPbCl,basisset0,0.885,False,NaN,NaN
1065_CsPdPbCl,basisset0,0.865,True,0.0001,0.0
1066_CsAuRuCl,basisset0,0.64,False,NaN,NaN
1067_CsAuIrCl,basisset0,0.82,True,0.0,0.0
1068_CsTmYbCl,basisset0,1.22,True,0.0,0.0
1069_CsTmHgCl,basisset0,1.29,False,NaN,NaN
1070_CsKTiCl,basisset0,0.615,True,0.0001,0.0
1072_CsNaBiCl,basisset0,0.87,True,0.0009,0.0
1073_CsAgYCl,basisset0,0.6,True,0.0,0.0
1074_CsHgLuCl,basisset0,1.265,False,NaN,NaN
1075_CsAgHoCl,basisset0,1.1,True,0.0019,0.0
1076_CsNaLaCl,basisset0,1.18,True,0.0001,0.0
1077_CsCrAmCl,basisset0,0.83,True,0.0,0.0
1078_CsCrNdCl,basisset0,1.09,False,NaN,NaN
1079_CsRbAlCl,basisset0,0.87,True,0.0112,0.0
1080_CsCdYbCl,basisset0,0.93,True,0.0002,0.0
1081_CsCdHgCl,basisset0,0.62,False,NaN,NaN
1082_CsVSrCl,basisset0,0.695,True,0.0,0.0
1084_CsEuPtCl,basisset0,0.965,False,NaN,NaN
1085_CsLiThCl,basisset0,1.075,True,0.0,0.0
1086_CsHgYbCl,basisset0,1.265,False,NaN,NaN
1088_CsNaEuCl,basisset0,1.055,True,0.0001,0.0
1089_CsNaPaCl,basisset0,0.775,False,NaN,NaN
1090_CsKIrCl,basisset0,0.76,True,0.0003,0.0
1091_CsRbCuCl,basisset0,0.595,False,NaN,NaN
1092_CsAuMoCl,basisset0,0.63,True,0.0018,0.0
1093_CsKRuCl,basisset0,0.56,True,0.0829,0.0
1094_CsKAsCl,basisset0,0.8,True,0.0003,0.0
1095_CsZnSmCl,basisset0,0.905,True,0.0001,0.0
1096_CsRbPCl,basisset0,0.91,False,NaN,NaN
1097_CsVEuCl,basisset0,0.84,False,NaN,NaN
1098_CsKNiCl,basisset0,0.585,True,0.0017,0.0
1099_CsPdNpCl,basisset0,0.795,True,0.0057,0.0
1100_CsFrNCl,basisset0,0.87,False,NaN,NaN
1101_CsAgHgCl,basisset0,0.625,True,0.0001,0.0
1102_CsTiNpCl,basisset0,1.0,True,0.0118,0.0
1104_CsNaGdCl,basisset0,1.055,True,0.0003,0.0
1105_CsKCoCl,basisset0,0.66,True,0.0008,0.0
1106_CsTiAmCl,basisset0,0.935,True,0.0087,0.0
1107_CsHgTmCl,basisset0,1.29,False,NaN,NaN
1108_CsKMoCl,basisset0,0.555,False,NaN,NaN
1109_CsFrBCl,basisset0,1.07,True,0.1775,1.3889
1110_CsMgBaCl,basisset0,0.95,True,0.0016,0.0
1111_CsPdAmCl,basisset0,0.785,True,0.0794,0.0
1111_CsPdAmCl,basisset1,0.73,True,0.004,0.0
1112_CsCaDyCl,basisset0,1.065,False,NaN,NaN
1113_CsCrPbCl,basisset0,0.79,True,0.0,0.0
1114_CsAgTbCl,basisset0,1.07,False,NaN,NaN
1115_CsHgTlCl,basisset0,0.99,False,NaN,NaN
1116_CsZnAmCl,basisset0,0.865,True,0.0021,0.0
1117_CsGeSmCl,basisset0,0.865,False,NaN,NaN
1118_CsAuNiCl,basisset0,0.705,True,0.0,0.0
1119_CsAuAsCl,basisset0,0.9,True,0.0002,0.0
1120_CsHgSbCl,basisset0,1.255,False,NaN,NaN
1121_CsHgPdCl,basisset0,0.75,True,0.0,0.0
1122_CsCaCdCl,basisset0,0.7,False,NaN,NaN
1123_CsCuSmCl,basisset0,1.095,True,0.0002,0.0
1124_CsAgInCl,basisset0,0.59,False,NaN,NaN
1125_CsTlCoCl,basisset0,0.86,True,0.0004,0.0
1126_CsAuCoCl,basisset0,0.72,True,0.0,0.0
1127_CsVNdCl,basisset0,0.9,False,NaN,NaN
1128_CsTlNiCl,basisset0,0.8,True,0.0,0.0
1129_CsGeBaCl,basisset0,0.89,True,0.0,0.0
1131_CsTlAsCl,basisset0,1.01,True,0.0009,0.0
1132_CsCuBaCl,basisset0,0.83,True,0.0317,0.0
1133_CsHgErCl,basisset0,1.275,False,NaN,NaN
1134_CsTiSmCl,basisset0,0.975,True,0.0005,0.0
1135_CsCrSrCl,basisset0,0.665,True,0.0005,0.0
1136_CsNaTbCl,basisset0,1.075,False,NaN,NaN
1137_CsGeAmCl,basisset0,0.88,True,0.4482,5.5556
1138_CsCuAmCl,basisset0,0.78,True,0.0873,0.0
1138_CsCuAmCl,basisset1,0.745,True,0.0138,0.0
1139_CsTlPCl,basisset0,1.07,True,0.0002,0.0
1140_CsMgSmCl,basisset0,0.99,True,0.0,0.0
1141_CsHgAgCl,basisset0,0.625,True,0.0,0.0
1142_CsTeVacCl,basisset0,1.13,False,NaN,NaN
1143_CsMnPbCl,basisset0,0.79,True,0.0,0.0
1144_CsCaAgCl,basisset0,0.665,True,0.0009,0.0
1145_CsAgGdCl,basisset0,1.075,True,0.7169,1.3889
1145_CsAgGdCl,basisset1,1.02,True,0.0143,0.0
1146_CsAuNbCl,basisset0,0.68,True,0.0002,0.0
1147_CsZnBaCl,basisset0,0.83,True,0.0009,0.0
1148_CsAuTaCl,basisset0,0.845,True,0.0,0.0
1149_CsDyHgCl,basisset0,1.3,False,NaN,NaN
1150_CsNdPtCl,basisset0,1.225,True,0.0006,0.0
1151_CsHgYCl,basisset0,0.83,True,0.0001,0.0
1152_CsDyYbCl,basisset0,2.105,True,0.0,0.0
1153_CsHgHoCl,basisset0,1.29,False,NaN,NaN
1154_CsCrEuCl,basisset0,0.84,False,NaN,NaN
1155_CsHgScCl,basisset0,0.68,False,NaN,NaN
1156_CsNaDyCl,basisset0,1.105,True,0.0,0.0
1157_CsTiDyCl,basisset0,1.03,False,NaN,NaN
1158_CsBeRaCl,basisset0,1.25,True,0.0076,0.0
1159_CsMnSrCl,basisset0,0.67,False,NaN,NaN
1160_CsZnPbCl,basisset0,0.83,False,NaN,NaN
1161_CsPdDyCl,basisset0,1.145,False,NaN,NaN
1162_CsMgAmCl,basisset0,0.96,True,0.0001,0.0
1163_CsAgEuCl,basisset0,1.06,True,0.0,0.0
1164_CsRbCoCl,basisset0,0.68,True,0.0001,0.0
1165_CsTlFeCl,basisset0,0.85,True,0.0,0.0
1166_CsKTaCl,basisset0,0.595,False,NaN,NaN
1168_CsCaNpCl,basisset0,1.13,False,NaN,NaN
1169_CsRbAsCl,basisset0,0.84,False,NaN,NaN
1170_CsMnBaCl,basisset0,0.79,True,0.0329,0.0
1171_CsRbNiCl,basisset0,0.62,True,0.0001,0.0
1172_CsKNbCl,basisset0,0.635,True,0.0003,0.0
1173_CsHgDyCl,basisset0,1.31,False,NaN,NaN
1174_CsNaHoCl,basisset0,1.09,True,0.0,0.0
1175_CsKCuCl,basisset0,0.56,True,0.0,0.0
1176_CsZnSrCl,basisset0,0.72,False,NaN,NaN
1177_CsNaYCl,basisset0,0.58,True,0.0042,0.0
