,GRACE-3L-OMAT-large-ft-AM,SevenNet-MPALOE,SevenNet-omat24,PET-OAM-XL
1000_CsAgLuCl,-1.8612340489338184,-2.086585044854999,-1.859980750095,-1.8669389009475708
1001_CsAuVCl,-1.2791771450947071,-1.5020071029600017,-1.2736321926199998,-1.2855667114257812
1002_CsNaPrCl,-1.999364987940624,-2.357498741149999,-2.1222345590700002,-2.124001979827881
1003_CsAgDyCl,-1.8623268166492726,-2.077784156795002,-1.8608817815899996,-1.8680038690567016
1004_CsMgNdCl,-1.9008615771244313,-2.1772354125974998,-1.8948665022925,-1.9063569545745849
1005_CsVSmCl,-1.7319950142811085,-2.0702684402425007,-1.7303069829974997,-1.7297856569290162
1006_CsPtAmCl,,,,
1007_CsAgYbCl,-1.6477019289444232,-2.0419713973949998,-1.8390557050849998,-1.6721071243286132
1008_CsSmPtCl,-1.5558922091434741,-1.7750873565725016,-1.5561691999474996,-1.564152455329895
1009_CsKVCl,-1.7216312328289294,-1.9719500064800002,-1.72513203621,-1.7248990535736084
1010_CsCaHgCl,-1.7119312206218982,-1.9198449611650006,-1.7120569229199998,-1.7169270098209382
1011_CsCaYbCl,-2.3105293253372454,-2.439875936515,-2.109721732145,-2.324674439430237
1012_CsNaPuCl,-1.8626851716945911,-2.2744131088187514,-1.9961285352856248,-1.9856122493743897
1013_CsGeNdCl,-1.643553833098247,-1.8281282424925025,-1.6587173700475,-1.6535937547683717
1014_CsCdDyCl,-1.8227252820442463,-2.0279039382850015,-1.824280428895,-1.829619836807251
1015_CsCuNdCl,-1.7904765644977831,-2.023946952817499,-1.7899433136125,-1.795680785179138
1016_CsNaNdCl,-2.0044440546940114,-2.3687887191774992,-2.1275165319525,-2.1295149326324463
1017_CsAgAuCl,-1.0388852873752856,-1.1972524642899998,-1.0409335613399997,-1.044728899002075
1018_CsKGaCl,-1.6576102891872668,-1.8484674930550014,-1.6596230506974998,-1.664094090461731
1019_CsVAmCl,,,,
1020_CsPdEuCl,-1.6551180163334156,-1.8958261489899997,-1.662932086,-1.6564321756362914
1021_CsTiEuCl,-1.934447157314454,-2.222787857060001,-1.9389572858866668,-1.9402833223342895
1022_CsNaNpCl,-1.779175321192577,-2.2705686569152363,-1.920951342589785,-1.907074213027954
1023_CsAgTmCl,-1.863425330252483,-2.078516197204999,-1.8620624303950002,-1.8688289403915406
1024_CsZnNdCl,-1.7720591822574878,-1.9721968650821793,-1.774317455302317,-1.7794004082679749
1025_CsNaCeCl,-1.9824800530384326,-2.3776014328000015,-2.11178853513,-2.106296920776367
1026_CsCaTmCl,-2.0550662318180346,-2.4067597866049995,-2.0651404142449996,-2.067233657836914
1027_CsNaAmCl,,,,
1028_CsKCrCl,-1.6788615861843372,-1.9674152851100004,-1.6892212390999997,-1.685563611984253
1029_CsKMnCl,-1.6042141365593878,-1.8649794101699997,-1.606213505521724,-1.6126485216206519
1030_CsAgTlCl,-1.227585462660625,-1.40341205597,-1.2257761240199998,-1.2332427024841308
1031_CsAuRhCl,-1.0343869725178028,-1.210551834100002,-1.03255276681,-1.040716791152954
1032_CsTlAlCl,-1.6484398404072071,-1.8342095851899984,-1.64839336874,-1.6533761978149415
1033_CsPtPbCl,-1.1890968600223804,-1.3528610229500004,-1.1908107996099997,-1.198284888267517
1034_CsHgInCl,-1.3441889444301869,-1.5156721115149991,-1.3369356870699998,-1.3475879728794098
1035_CsNaCmCl,,,,
1036_CsAuGaCl,-1.2238355914066577,-1.3957761764449998,-1.2235694885374997,-1.2340818166732788
1037_CsNaPmCl,-2.009799520106151,-2.3761732101425013,-2.1329600095849996,-2.135769414901733
1038_CsCoNdCl,-1.6975243965099598,-2.0033329009975005,-1.7083019971924998,-1.7075398683547973
1039_CsYbHgCl,-1.7389250287721896,-1.937762451170002,-1.757415676125,-1.7569580137729646
1040_CsNiBaCl,-1.6906365910480763,-1.9847783088700013,-1.706066572675,-1.6994430780410767
1041_CsSrPdCl,-1.6307805577228809,-1.862321186070001,-1.63537757398,-1.635858404636383
1042_CsAuTiCl,-1.4269478678018195,-1.6276077270500025,-1.4186410427166667,-1.4301424026489258
1043_CsTlCuCl,-1.2190189877460742,-1.3967027664200002,-1.2170008182699998,-1.2254961013793946
1044_CsTiSrCl,-1.957701218059693,-2.2337790489200002,-1.961351656926667,-1.9599732995033263
1045_CsHgAuCl,-1.0529851386259341,-1.1994644164950017,-1.05066297055,-1.058983474969864
1046_CsAgErCl,-1.8633318701694752,-2.0831007003699993,-1.8618391752366665,-1.8691571474075317
1047_CsMnNdCl,-1.7416961717194526,-2.0528894424375013,-1.7282967164742238,-1.7463951217717137
1048_CsAgNpCl,-1.6165246406505847,-1.971108055115235,-1.639279055609785,-1.6290009260177611
1049_CsAuCrCl,-1.2372235098789477,-1.5018417358300014,-1.2389459133199998,-1.251253318786621
1050_CsFeNdCl,-1.6826284447620654,-1.969591903685,-1.6981201887249995,-1.692187523841858
1051_CsCrSmCl,-1.7654675522754932,-2.0835933685225,-1.7587390661374998,-1.7696864366531373
1052_CsAuMnCl,-1.232033090550324,-1.4825670242299993,-1.2268167808217239,-1.2384223806446997
1053_CsNaUCl,-1.7531058112095141,-2.193718528740001,-1.87827594281,-1.877990961074829
1054_CsFeBaCl,-1.7335371056507374,-2.008824157717501,-1.7407582879174999,-1.7441534280776978
1055_CsKRhCl,-1.4663992801616932,-1.6545151233699997,-1.4708693981299998,-1.4698734283447266
1056_CsNiNdCl,-1.7078510800312305,-1.971850681307501,-1.7042705297625003,-1.7089040994644165
1057_CsVPbCl,-1.501740507216289,-1.7810636520300023,-1.5112284898900001,-1.5110097646713256
1058_CsSrPtCl,-1.5359617033909108,-1.7570479393100016,-1.54061505795,-1.5441491723060607
1059_CsCdTmCl,-1.8238852510164523,-2.032691764825003,-1.8273581266499999,-1.8312501907348633
1060_CsCoBaCl,-1.6816447177837635,-1.9804344177299995,-1.696128237255,-1.6934340715408325
1061_CsCuThCl,-1.6141222516010547,-1.789040946960003,-1.5926436424400001,-1.615671420097351
1062_CsNaSmCl,-2.012933258147075,-2.3748605728125014,-2.1348300695574993,-2.138278532028198
1063_CsKFeCl,-1.5125515142391468,-1.7572304248774997,-1.5132199764324998,-1.528357458114624
1064_CsTiPbCl,-1.5619981884271248,-1.7989372253400007,-1.5673899889166663,-1.5721877813339233
