,chemsys,nsites,structure_dict
mp-1214068,Cd-Cr-F,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[-3.50091, -5.314742, 0.435376], [-4.028936, 5.596584, -0.473865], [0.257199, 0.881196, -15.332469]], 'pbc': (True, True, True), 'a': 6.379059931999385, 'b': 6.912208460353102, 'c': 15.359923937050533, 'alpha': 83.96577076328717, 'beta': 97.18748335598538, 'gamma': 111.06140599128479, 'volume': 625.7350487152654}, 'properties': {}, 'sites': [{'species': [{'element': 'Cr', 'occu': 1}], 'abc': [6.938893903907228e-18, -1.0408340855860843e-17, 0.5], 'properties': {}, 'label': 'Cr', 'xyz': [0.12859950000000003, 0.4405979999999999, -7.6662345]}, {'species': [{'element': 'Cr', 'occu': 1}], 'abc': [0.5000000000000001, 0.5, -5.204170427930421e-18], 'properties': {}, 'label': 'Cr', 'xyz': [-3.7649230000000005, 0.14092099999999963, -0.019244499999999862]}, {'species': [{'element': 'Cr', 'occu': 1}], 'abc': [1.7564075194265172e-17, 0.49999999999999994, 0.0], 'properties': {}, 'label': 'Cr', 'xyz': [-2.0144679999999995, 2.7982919999999996, -0.23693249999999996]}, {'species': [{'element': 'Cd', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Cd', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.972765, 0.27990199999999993, 0.923359], 'properties': {}, 'label': 'F', 'xyz': [-4.2957829489809995, -2.7898396894980007, -13.866490469960999]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.027235000000000075, 0.7200979999999999, 0.07664099999999999], 'properties': {}, 'label': 'F', 'xyz': [-2.9768640510189996, 3.952877689497999, -1.5044675300389996]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.9157000000000001, 0.9487149999999999, 0.611906], 'properties': {}, 'label': 'F', 'xyz': [-6.8707136929459995, 0.982063059735999, -9.432918806188999]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.08430000000000001, 0.05128499999999998, 0.388094], 'properties': {}, 'label': 'F', 'xyz': [-0.401933307054, 0.1809749402639998, -5.938039193811]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.6652750000000001, 0.786368, 0.953999], 'properties': {}, 'label': 'F', 'xyz': [-5.251926655897001, 1.7058696856659998, -14.710147597451]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.334725, 0.21363199999999993, 0.046001], 'properties': {}, 'label': 'F', 'xyz': [-2.0207203441029997, -0.5428316856660004, -0.660810402549]}]}"
mp-1212233,F-Mn-Pt,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[-3.230642, -5.912154, 0.990462], [-2.373036, 5.163119, 0.282642], [2.943054, 0.601865, -10.956196]], 'pbc': (True, True, True), 'a': 6.809671623898175, 'b': 5.689374672635034, 'c': 11.360547483090638, 'alpha': 96.19347197113507, 'beta': 108.00928262706013, 'gamma': 125.646794363502, 'volume': 315.630790165583}, 'properties': {}, 'sites': [{'species': [{'element': 'Mn', 'occu': 1}], 'abc': [-5.551115123125783e-17, 0.0, 0.49999999999999994], 'properties': {}, 'label': 'Mn', 'xyz': [1.471527, 0.30093250000000027, -5.478097999999999]}, {'species': [{'element': 'Mn', 'occu': 1}], 'abc': [0.5000000000000001, 0.5000000000000001, 0.0], 'properties': {}, 'label': 'Mn', 'xyz': [-2.8018390000000006, -0.37451750000000006, 0.6365520000000001]}, {'species': [{'element': 'Mn', 'occu': 1}], 'abc': [7.025630077706069e-17, 0.5, 0.0], 'properties': {}, 'label': 'Mn', 'xyz': [-1.1865180000000002, 2.5815594999999996, 0.14132100000000009]}, {'species': [{'element': 'Pt', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Pt', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.17594399999999988, 0.47966799999999993, 0.8909779999999998], 'properties': {}, 'label': 'F', 'xyz': [0.9155148587160002, 1.9726234150860003, -9.451889430703998]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.8240560000000003, 0.5203320000000001, 0.109022], 'properties': {}, 'label': 'F', 'xyz': [-3.5761388587160017, -2.1197934150860016, -0.2312025692959997]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.8750370000000001, 0.8417260000000001, 0.617157], 'properties': {}, 'label': 'F', 'xyz': [-3.0080510064120007, -0.4559767984990004, -5.657095037585999]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.12496299999999999, 0.15827400000000003, 0.382843], 'properties': {}, 'label': 'F', 'xyz': [0.347427006412, 0.30880679849900017, -4.025996962414]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.6945680000000002, 0.967295, 0.008800000000000002], 'properties': {}, 'label': 'F', 'xyz': [-4.5134275350760005, 0.8931626256329991, 0.8649268790060002]}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.3054319999999998, 0.032704999999999984, 0.9911999999999999], 'properties': {}, 'label': 'F', 'xyz': [1.8528035350760006, -1.0403326256329994, -10.548018879005998]}]}"
1006_CsPtAmCl,Am-Cl-Cs-Pt,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.221172245333971, 5.221172245333971], [5.221172245333971, 0.0, 5.221172245333971], [5.221172245333971, 5.221172245333971, 0.0]], 'pbc': (True, True, True), 'a': 7.383852600837287, 'b': 7.383852600837287, 'c': 7.383852600837287, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 284.66498990043453}, 'properties': {}, 'sites': [{'species': [{'element': 'Pt', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Pt', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.221172245333971, 5.221172245333971, 5.221172245333971]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6105861226669855, 2.6105861226669855, 2.6105861226669855]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.831758368000957, 7.831758368000957, 7.831758368000957]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7562432560894337, 0.2437567439105663, 0.2437567439105663], 'properties': {}, 'label': 'Cl', 'xyz': [2.5453918918376583, 5.221172245333971, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2437567439105663, 0.7562432560894337, 0.7562432560894337], 'properties': {}, 'label': 'Cl', 'xyz': [7.896952598830283, 5.221172245333971, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2437567439105663, 0.7562432560894337, 0.2437567439105663], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 2.5453918918376583, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7562432560894337, 0.2437567439105663, 0.7562432560894337], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 7.896952598830283, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2437567439105663, 0.2437567439105663, 0.7562432560894337], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 5.221172245333971, 2.5453918918376583]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7562432560894337, 0.7562432560894337, 0.2437567439105663], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 5.221172245333971, 7.896952598830283]}]}"
1019_CsVAmCl,Am-Cl-Cs-V,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.188022947516429, 5.188022947516429], [5.188022947516429, 0.0, 5.188022947516429], [5.188022947516429, 5.188022947516429, 0.0]], 'pbc': (True, True, True), 'a': 7.336972414280574, 'b': 7.336972414280574, 'c': 7.336972414280574, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 279.2773152021835}, 'properties': {}, 'sites': [{'species': [{'element': 'V', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'V', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.188022947516429, 5.188022947516429, 5.188022947516429]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.5940114737582145, 2.5940114737582145, 2.5940114737582145]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.782034421274643, 7.782034421274643, 7.782034421274643]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7646489330296617, 0.2353510669703383, 0.2353510669703383], 'properties': {}, 'label': 'Cl', 'xyz': [2.442013472329182, 5.18802294751643, 5.18802294751643]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2353510669703383, 0.7646489330296617, 0.7646489330296617], 'properties': {}, 'label': 'Cl', 'xyz': [7.934032422703677, 5.18802294751643, 5.18802294751643]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2353510669703383, 0.7646489330296617, 0.2353510669703383], 'properties': {}, 'label': 'Cl', 'xyz': [5.18802294751643, 2.442013472329182, 5.18802294751643]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7646489330296617, 0.2353510669703383, 0.7646489330296617], 'properties': {}, 'label': 'Cl', 'xyz': [5.18802294751643, 7.934032422703677, 5.18802294751643]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2353510669703383, 0.2353510669703383, 0.7646489330296617], 'properties': {}, 'label': 'Cl', 'xyz': [5.18802294751643, 5.18802294751643, 2.442013472329182]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7646489330296617, 0.7646489330296617, 0.2353510669703383], 'properties': {}, 'label': 'Cl', 'xyz': [5.18802294751643, 5.18802294751643, 7.934032422703677]}]}"
1027_CsNaAmCl,Am-Cl-Cs-Na,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.372533149376689, 5.372533149376688], [5.372533149376689, 0.0, 5.372533149376688], [5.372533149376689, 5.372533149376689, 0.0]], 'pbc': (True, True, True), 'a': 7.59790924414755, 'b': 7.59790924414755, 'c': 7.59790924414755, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 60.00000000000001, 'volume': 310.1468018348439}, 'properties': {}, 'sites': [{'species': [{'element': 'Na', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Na', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.372533149376689, 5.372533149376689, 5.372533149376688]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6862665746883443, 2.6862665746883443, 2.686266574688344]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.058799724065032, 8.058799724065032, 8.058799724065032]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7473556697316255, 0.2526443302683745, 0.2526443302683745], 'properties': {}, 'label': 'Cl', 'xyz': [2.7146800787378287, 5.372533149376689, 5.372533149376688]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2526443302683745, 0.7473556697316255, 0.7473556697316255], 'properties': {}, 'label': 'Cl', 'xyz': [8.030386220015549, 5.372533149376689, 5.372533149376688]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2526443302683745, 0.7473556697316255, 0.2526443302683745], 'properties': {}, 'label': 'Cl', 'xyz': [5.372533149376689, 2.7146800787378287, 5.372533149376688]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7473556697316255, 0.2526443302683745, 0.7473556697316255], 'properties': {}, 'label': 'Cl', 'xyz': [5.372533149376689, 8.030386220015549, 5.372533149376688]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2526443302683745, 0.2526443302683745, 0.7473556697316255], 'properties': {}, 'label': 'Cl', 'xyz': [5.372533149376689, 5.372533149376689, 2.7146800787378282]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7473556697316255, 0.7473556697316255, 0.2526443302683745], 'properties': {}, 'label': 'Cl', 'xyz': [5.372533149376689, 5.372533149376689, 8.030386220015547]}]}"
1035_CsNaCmCl,Cl-Cm-Cs-Na,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.377349978775304, 5.377349978775304], [5.377349978775304, 0.0, 5.377349978775304], [5.377349978775304, 5.377349978775304, 0.0]], 'pbc': (True, True, True), 'a': 7.60472126961071, 'b': 7.60472126961071, 'c': 7.60472126961071, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 310.98175100669454}, 'properties': {}, 'sites': [{'species': [{'element': 'Na', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Na', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Cm', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Cm', 'xyz': [5.377349978775304, 5.377349978775304, 5.377349978775304]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.688674989387652, 2.688674989387652, 2.688674989387652]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.066024968162957, 8.066024968162957, 8.066024968162957]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7471237217851439, 0.2528762782148561, 0.2528762782148561], 'properties': {}, 'label': 'Cl', 'xyz': [2.7196084985828684, 5.377349978775304, 5.377349978775304]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2528762782148561, 0.7471237217851439, 0.7471237217851439], 'properties': {}, 'label': 'Cl', 'xyz': [8.03509145896774, 5.377349978775304, 5.377349978775304]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2528762782148561, 0.7471237217851439, 0.2528762782148561], 'properties': {}, 'label': 'Cl', 'xyz': [5.377349978775304, 2.7196084985828684, 5.377349978775304]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7471237217851439, 0.2528762782148561, 0.7471237217851439], 'properties': {}, 'label': 'Cl', 'xyz': [5.377349978775304, 8.03509145896774, 5.377349978775304]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2528762782148561, 0.2528762782148561, 0.7471237217851439], 'properties': {}, 'label': 'Cl', 'xyz': [5.377349978775304, 5.377349978775304, 2.7196084985828684]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7471237217851439, 0.7471237217851439, 0.2528762782148561], 'properties': {}, 'label': 'Cl', 'xyz': [5.377349978775304, 5.377349978775304, 8.03509145896774]}]}"
1077_CsCrAmCl,Am-Cl-Cr-Cs,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.236947828446889, 5.236947828446889], [5.236947828446889, 0.0, 5.236947828446889], [5.236947828446889, 5.236947828446889, 0.0]], 'pbc': (True, True, True), 'a': 7.4061626444299185, 'b': 7.4061626444299185, 'c': 7.4061626444299185, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 287.2531089965306}, 'properties': {}, 'sites': [{'species': [{'element': 'Cr', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Cr', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.236947828446889, 5.236947828446889, 5.236947828446889]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6184739142234443, 2.6184739142234443, 2.6184739142234443]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.855421742670333, 7.855421742670333, 7.855421742670333]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7604268262284819, 0.2395731737715181, 0.2395731737715181], 'properties': {}, 'label': 'Cl', 'xyz': [2.509264424273762, 5.236947828446889, 5.236947828446889]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2395731737715181, 0.7604268262284819, 0.7604268262284819], 'properties': {}, 'label': 'Cl', 'xyz': [7.9646312326200155, 5.236947828446889, 5.236947828446889]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2395731737715181, 0.7604268262284819, 0.2395731737715181], 'properties': {}, 'label': 'Cl', 'xyz': [5.236947828446889, 2.509264424273762, 5.236947828446889]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7604268262284819, 0.2395731737715181, 0.7604268262284819], 'properties': {}, 'label': 'Cl', 'xyz': [5.236947828446889, 7.9646312326200155, 5.236947828446889]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2395731737715181, 0.2395731737715181, 0.7604268262284819], 'properties': {}, 'label': 'Cl', 'xyz': [5.236947828446889, 5.236947828446889, 2.509264424273762]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7604268262284819, 0.7604268262284819, 0.2395731737715181], 'properties': {}, 'label': 'Cl', 'xyz': [5.236947828446889, 5.236947828446889, 7.9646312326200155]}]}"
1100_CsFrNCl,Cl-Cs-Fr-N,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.376601973655006, 5.376601973655006], [5.376601973655006, 0.0, 5.376601973655006], [5.376601973655006, 5.376601973655006, 0.0]], 'pbc': (True, True, True), 'a': 7.60366343062486, 'b': 7.60366343062486, 'c': 7.60366343062486, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 310.8519936427892}, 'properties': {}, 'sites': [{'species': [{'element': 'Fr', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Fr', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'N', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'N', 'xyz': [5.376601973655006, 5.376601973655006, 5.376601973655006]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.688300986827503, 2.688300986827503, 2.688300986827503]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.06490296048251, 8.06490296048251, 8.06490296048251]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7057841632284578, 0.2942158367715422, 0.2942158367715422], 'properties': {}, 'label': 'Cl', 'xyz': [3.1637628973328664, 5.376601973655006, 5.376601973655006]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2942158367715422, 0.7057841632284578, 0.7057841632284578], 'properties': {}, 'label': 'Cl', 'xyz': [7.589441049977147, 5.376601973655006, 5.376601973655006]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2942158367715422, 0.7057841632284578, 0.2942158367715422], 'properties': {}, 'label': 'Cl', 'xyz': [5.376601973655006, 3.1637628973328664, 5.376601973655006]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7057841632284578, 0.2942158367715422, 0.7057841632284578], 'properties': {}, 'label': 'Cl', 'xyz': [5.376601973655006, 7.589441049977147, 5.376601973655006]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2942158367715422, 0.2942158367715422, 0.7057841632284578], 'properties': {}, 'label': 'Cl', 'xyz': [5.376601973655006, 5.376601973655006, 3.1637628973328664]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7057841632284578, 0.7057841632284578, 0.2942158367715422], 'properties': {}, 'label': 'Cl', 'xyz': [5.376601973655006, 5.376601973655006, 7.589441049977147]}]}"
1106_CsTiAmCl,Am-Cl-Cs-Ti,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.2245257686385225, 5.2245257686385225], [5.2245257686385225, 0.0, 5.2245257686385225], [5.2245257686385225, 5.2245257686385225, 0.0]], 'pbc': (True, True, True), 'a': 7.388595198976318, 'b': 7.388595198976318, 'c': 7.388595198976318, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 285.21385742487934}, 'properties': {}, 'sites': [{'species': [{'element': 'Ti', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ti', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.2245257686385225, 5.2245257686385225, 5.2245257686385225]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6122628843192612, 2.6122628843192612, 2.6122628843192612]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.836788652957784, 7.836788652957784, 7.836788652957784]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7621504497571365, 0.2378495502428635, 0.2378495502428635], 'properties': {}, 'label': 'Cl', 'xyz': [2.4853022086058467, 5.2245257686385225, 5.2245257686385225]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2378495502428635, 0.7621504497571365, 0.7621504497571365], 'properties': {}, 'label': 'Cl', 'xyz': [7.963749328671199, 5.2245257686385225, 5.2245257686385225]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2378495502428635, 0.7621504497571365, 0.2378495502428635], 'properties': {}, 'label': 'Cl', 'xyz': [5.2245257686385225, 2.4853022086058467, 5.2245257686385225]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7621504497571365, 0.2378495502428635, 0.7621504497571365], 'properties': {}, 'label': 'Cl', 'xyz': [5.2245257686385225, 7.963749328671199, 5.2245257686385225]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2378495502428635, 0.2378495502428635, 0.7621504497571365], 'properties': {}, 'label': 'Cl', 'xyz': [5.2245257686385225, 5.2245257686385225, 2.4853022086058467]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7621504497571365, 0.7621504497571365, 0.2378495502428635], 'properties': {}, 'label': 'Cl', 'xyz': [5.2245257686385225, 5.2245257686385225, 7.963749328671199]}]}"
1109_CsFrBCl,B-Cl-Cs-Fr,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.348969957792575, 5.348969957792575], [5.348969957792575, 0.0, 5.348969957792575], [5.348969957792575, 5.348969957792575, 0.0]], 'pbc': (True, True, True), 'a': 7.564585859036502, 'b': 7.564585859036502, 'c': 7.564585859036502, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 306.0838897570033}, 'properties': {}, 'sites': [{'species': [{'element': 'Fr', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Fr', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'B', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'B', 'xyz': [5.348969957792575, 5.348969957792575, 5.348969957792575]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6744849788962877, 2.6744849788962877, 2.6744849788962877]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.023454936688863, 8.023454936688863, 8.023454936688863]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.6994973173075891, 0.3005026826924109, 0.3005026826924109], 'properties': {}, 'label': 'Cl', 'xyz': [3.2147596439155617, 5.348969957792575, 5.348969957792575]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.3005026826924109, 0.6994973173075891, 0.6994973173075891], 'properties': {}, 'label': 'Cl', 'xyz': [7.483180271669589, 5.348969957792575, 5.348969957792575]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.3005026826924109, 0.6994973173075891, 0.3005026826924109], 'properties': {}, 'label': 'Cl', 'xyz': [5.348969957792575, 3.2147596439155617, 5.348969957792575]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.6994973173075891, 0.3005026826924109, 0.6994973173075891], 'properties': {}, 'label': 'Cl', 'xyz': [5.348969957792575, 7.483180271669589, 5.348969957792575]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.3005026826924109, 0.3005026826924109, 0.6994973173075891], 'properties': {}, 'label': 'Cl', 'xyz': [5.348969957792575, 5.348969957792575, 3.2147596439155617]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.6994973173075891, 0.6994973173075891, 0.3005026826924109], 'properties': {}, 'label': 'Cl', 'xyz': [5.348969957792575, 5.348969957792575, 7.483180271669589]}]}"
