comp,structure_dict
1000_CsAgLuCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.233804860694303, 5.233804860694303], [5.233804860694303, 0.0, 5.233804860694303], [5.233804860694303, 5.233804860694303, 0.0]], 'pbc': (True, True, True), 'a': 7.401717816808111, 'b': 7.401717816808111, 'c': 7.401717816808111, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 286.73623224183547}, 'properties': {}, 'sites': [{'species': [{'element': 'Ag', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ag', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Lu', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Lu', 'xyz': [5.233804860694303, 5.233804860694303, 5.233804860694303]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6169024303471513, 2.6169024303471513, 2.6169024303471513]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.850707291041454, 7.850707291041454, 7.850707291041454]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7436449590402958, 0.2563550409597042, 0.2563550409597042], 'properties': {}, 'label': 'Cl', 'xyz': [2.6834245188767736, 5.233804860694303, 5.233804860694303]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2563550409597042, 0.7436449590402958, 0.7436449590402958], 'properties': {}, 'label': 'Cl', 'xyz': [7.784185202511831, 5.233804860694303, 5.233804860694303]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2563550409597042, 0.7436449590402958, 0.2563550409597042], 'properties': {}, 'label': 'Cl', 'xyz': [5.233804860694303, 2.6834245188767736, 5.233804860694303]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7436449590402958, 0.2563550409597042, 0.7436449590402958], 'properties': {}, 'label': 'Cl', 'xyz': [5.233804860694303, 7.784185202511831, 5.233804860694303]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2563550409597042, 0.2563550409597042, 0.7436449590402958], 'properties': {}, 'label': 'Cl', 'xyz': [5.233804860694303, 5.233804860694303, 2.6834245188767736]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7436449590402958, 0.7436449590402958, 0.2563550409597042], 'properties': {}, 'label': 'Cl', 'xyz': [5.233804860694303, 5.233804860694303, 7.784185202511831]}]}"
1001_CsAuVCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.054158779069534, 5.054158779069534], [5.054158779069534, 0.0, 5.054158779069534], [5.054158779069534, 5.054158779069534, 0.0]], 'pbc': (True, True, True), 'a': 7.147659891747178, 'b': 7.147659891747178, 'c': 7.147659891747178, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 258.21212977511414}, 'properties': {}, 'sites': [{'species': [{'element': 'Au', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Au', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'V', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'V', 'xyz': [5.054158779069534, 5.054158779069534, 5.054158779069534]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.527079389534767, 2.527079389534767, 2.527079389534767]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.581238168604301, 7.581238168604301, 7.581238168604301]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7357502141218717, 0.2642497858781283, 0.2642497858781283], 'properties': {}, 'label': 'Cl', 'xyz': [2.6711207503263736, 5.054158779069534, 5.054158779069534]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2642497858781283, 0.7357502141218717, 0.7357502141218717], 'properties': {}, 'label': 'Cl', 'xyz': [7.437196807812695, 5.054158779069534, 5.054158779069534]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2642497858781283, 0.7357502141218717, 0.2642497858781283], 'properties': {}, 'label': 'Cl', 'xyz': [5.054158779069534, 2.6711207503263736, 5.054158779069534]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7357502141218717, 0.2642497858781283, 0.7357502141218717], 'properties': {}, 'label': 'Cl', 'xyz': [5.054158779069534, 7.437196807812695, 5.054158779069534]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2642497858781283, 0.2642497858781283, 0.7357502141218717], 'properties': {}, 'label': 'Cl', 'xyz': [5.054158779069534, 5.054158779069534, 2.6711207503263736]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7357502141218717, 0.7357502141218717, 0.2642497858781283], 'properties': {}, 'label': 'Cl', 'xyz': [5.054158779069534, 5.054158779069534, 7.437196807812695]}]}"
1002_CsNaPrCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.433008231627931, 5.433008231627931], [5.433008231627931, 0.0, 5.433008231627931], [5.433008231627931, 5.433008231627931, 0.0]], 'pbc': (True, True, True), 'a': 7.683433925652886, 'b': 7.683433925652886, 'c': 7.683433925652886, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 320.7384933381303}, 'properties': {}, 'sites': [{'species': [{'element': 'Na', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Na', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Pr', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Pr', 'xyz': [5.433008231627931, 5.433008231627931, 5.433008231627931]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.7165041158139656, 2.7165041158139656, 2.7165041158139656]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.149512347441897, 8.149512347441897, 8.149512347441897]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7499339894875803, 0.2500660105124197, 0.2500660105124197], 'properties': {}, 'label': 'Cl', 'xyz': [2.7172213871286663, 5.433008231627932, 5.433008231627932]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2500660105124197, 0.7499339894875803, 0.7499339894875803], 'properties': {}, 'label': 'Cl', 'xyz': [8.148795076127197, 5.433008231627932, 5.433008231627932]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2500660105124197, 0.7499339894875803, 0.2500660105124197], 'properties': {}, 'label': 'Cl', 'xyz': [5.433008231627932, 2.7172213871286663, 5.433008231627932]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7499339894875803, 0.2500660105124197, 0.7499339894875803], 'properties': {}, 'label': 'Cl', 'xyz': [5.433008231627932, 8.148795076127197, 5.433008231627932]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2500660105124197, 0.2500660105124197, 0.7499339894875803], 'properties': {}, 'label': 'Cl', 'xyz': [5.433008231627932, 5.433008231627932, 2.7172213871286663]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7499339894875803, 0.7499339894875803, 0.2500660105124197], 'properties': {}, 'label': 'Cl', 'xyz': [5.433008231627932, 5.433008231627932, 8.148795076127197]}]}"
1003_CsAgDyCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.282616240627549, 5.282616240627549], [5.282616240627549, 0.0, 5.282616240627549], [5.282616240627549, 5.282616240627549, 0.0]], 'pbc': (True, True, True), 'a': 7.470747532307853, 'b': 7.470747532307853, 'c': 7.470747532307853, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 294.8337404926531}, 'properties': {}, 'sites': [{'species': [{'element': 'Ag', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ag', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Dy', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Dy', 'xyz': [5.282616240627549, 5.282616240627549, 5.282616240627549]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6413081203137745, 2.6413081203137745, 2.6413081203137745]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.9239243609413235, 7.9239243609413235, 7.9239243609413235]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7464667271050445, 0.2535332728949555, 0.2535332728949555], 'properties': {}, 'label': 'Cl', 'xyz': [2.678637969868696, 5.282616240627549, 5.282616240627549]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2535332728949555, 0.7464667271050445, 0.7464667271050445], 'properties': {}, 'label': 'Cl', 'xyz': [7.886594511386401, 5.282616240627549, 5.282616240627549]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2535332728949555, 0.7464667271050445, 0.2535332728949555], 'properties': {}, 'label': 'Cl', 'xyz': [5.282616240627549, 2.678637969868696, 5.282616240627549]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7464667271050445, 0.2535332728949555, 0.7464667271050445], 'properties': {}, 'label': 'Cl', 'xyz': [5.282616240627549, 7.886594511386401, 5.282616240627549]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2535332728949555, 0.2535332728949555, 0.7464667271050445], 'properties': {}, 'label': 'Cl', 'xyz': [5.282616240627549, 5.282616240627549, 2.678637969868696]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7464667271050445, 0.7464667271050445, 0.2535332728949555], 'properties': {}, 'label': 'Cl', 'xyz': [5.282616240627549, 5.282616240627549, 7.886594511386401]}]}"
1004_CsMgNdCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.249923600416876, 5.249923600416876], [5.249923600416876, 0.0, 5.249923600416876], [5.249923600416876, 5.249923600416876, 0.0]], 'pbc': (True, True, True), 'a': 7.424513157132136, 'b': 7.424513157132136, 'c': 7.424513157132136, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 289.39361560280224}, 'properties': {}, 'sites': [{'species': [{'element': 'Mg', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Mg', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Nd', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Nd', 'xyz': [5.249923600416876, 5.249923600416876, 5.249923600416876]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.624961800208438, 2.624961800208438, 2.624961800208438]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.874885400625314, 7.874885400625314, 7.874885400625314]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7636548072181952, 0.2363451927818048, 0.2363451927818048], 'properties': {}, 'label': 'Cl', 'xyz': [2.481588410860547, 5.249923600416876, 5.249923600416876]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2363451927818048, 0.7636548072181952, 0.7636548072181952], 'properties': {}, 'label': 'Cl', 'xyz': [8.018258789973206, 5.249923600416876, 5.249923600416876]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2363451927818048, 0.7636548072181952, 0.2363451927818048], 'properties': {}, 'label': 'Cl', 'xyz': [5.249923600416876, 2.481588410860547, 5.249923600416876]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7636548072181952, 0.2363451927818048, 0.7636548072181952], 'properties': {}, 'label': 'Cl', 'xyz': [5.249923600416876, 8.018258789973206, 5.249923600416876]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2363451927818048, 0.2363451927818048, 0.7636548072181952], 'properties': {}, 'label': 'Cl', 'xyz': [5.249923600416876, 5.249923600416876, 2.481588410860547]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7636548072181952, 0.7636548072181952, 0.2363451927818048], 'properties': {}, 'label': 'Cl', 'xyz': [5.249923600416876, 5.249923600416876, 8.018258789973206]}]}"
1005_CsVSmCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.165679987053926, 5.165679987053926], [5.165679987053926, 0.0, 5.165679987053926], [5.165679987053926, 5.165679987053926, 0.0]], 'pbc': (True, True, True), 'a': 7.305374696570936, 'b': 7.305374696570936, 'c': 7.305374696570936, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 275.68458958566714}, 'properties': {}, 'sites': [{'species': [{'element': 'V', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'V', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Sm', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Sm', 'xyz': [5.165679987053926, 5.165679987053926, 5.165679987053926]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.582839993526963, 2.582839993526963, 2.582839993526963]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.748519980580888, 7.748519980580888, 7.748519980580888]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7604576580451408, 0.2395423419548592, 0.2395423419548592], 'properties': {}, 'label': 'Cl', 'xyz': [2.474798163776488, 5.165679987053926, 5.165679987053926]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2395423419548592, 0.7604576580451408, 0.7604576580451408], 'properties': {}, 'label': 'Cl', 'xyz': [7.856561810331363, 5.165679987053926, 5.165679987053926]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2395423419548592, 0.7604576580451408, 0.2395423419548592], 'properties': {}, 'label': 'Cl', 'xyz': [5.165679987053926, 2.474798163776488, 5.165679987053926]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7604576580451408, 0.2395423419548592, 0.7604576580451408], 'properties': {}, 'label': 'Cl', 'xyz': [5.165679987053926, 7.856561810331363, 5.165679987053926]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2395423419548592, 0.2395423419548592, 0.7604576580451408], 'properties': {}, 'label': 'Cl', 'xyz': [5.165679987053926, 5.165679987053926, 2.474798163776488]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7604576580451408, 0.7604576580451408, 0.2395423419548592], 'properties': {}, 'label': 'Cl', 'xyz': [5.165679987053926, 5.165679987053926, 7.856561810331363]}]}"
1006_CsPtAmCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.221172245333971, 5.221172245333971], [5.221172245333971, 0.0, 5.221172245333971], [5.221172245333971, 5.221172245333971, 0.0]], 'pbc': (True, True, True), 'a': 7.383852600837287, 'b': 7.383852600837287, 'c': 7.383852600837287, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 284.66498990043453}, 'properties': {}, 'sites': [{'species': [{'element': 'Pt', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Pt', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.221172245333971, 5.221172245333971, 5.221172245333971]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6105861226669855, 2.6105861226669855, 2.6105861226669855]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.831758368000957, 7.831758368000957, 7.831758368000957]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7562432560894337, 0.2437567439105663, 0.2437567439105663], 'properties': {}, 'label': 'Cl', 'xyz': [2.5453918918376583, 5.221172245333971, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2437567439105663, 0.7562432560894337, 0.7562432560894337], 'properties': {}, 'label': 'Cl', 'xyz': [7.896952598830283, 5.221172245333971, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2437567439105663, 0.7562432560894337, 0.2437567439105663], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 2.5453918918376583, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7562432560894337, 0.2437567439105663, 0.7562432560894337], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 7.896952598830283, 5.221172245333971]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2437567439105663, 0.2437567439105663, 0.7562432560894337], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 5.221172245333971, 2.5453918918376583]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7562432560894337, 0.7562432560894337, 0.2437567439105663], 'properties': {}, 'label': 'Cl', 'xyz': [5.221172245333971, 5.221172245333971, 7.896952598830283]}]}"
1007_CsAgYbCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.243897280196681, 5.243897280196681], [5.243897280196681, 0.0, 5.243897280196681], [5.243897280196681, 5.243897280196681, 0.0]], 'pbc': (True, True, True), 'a': 7.415990653345533, 'b': 7.415990653345533, 'c': 7.415990653345533, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 288.39818541841015}, 'properties': {}, 'sites': [{'species': [{'element': 'Ag', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ag', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Yb', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Yb', 'xyz': [5.243897280196681, 5.243897280196681, 5.243897280196681]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6219486400983407, 2.6219486400983407, 2.6219486400983407]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.865845920295023, 7.865845920295023, 7.865845920295023]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7442336728027428, 0.2557663271972572, 0.2557663271972572], 'properties': {}, 'label': 'Cl', 'xyz': [2.6824246951111834, 5.243897280196681, 5.243897280196681]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2557663271972572, 0.7442336728027428, 0.7442336728027428], 'properties': {}, 'label': 'Cl', 'xyz': [7.80536986528218, 5.243897280196681, 5.243897280196681]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2557663271972572, 0.7442336728027428, 0.2557663271972572], 'properties': {}, 'label': 'Cl', 'xyz': [5.243897280196681, 2.6824246951111834, 5.243897280196681]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7442336728027428, 0.2557663271972572, 0.7442336728027428], 'properties': {}, 'label': 'Cl', 'xyz': [5.243897280196681, 7.80536986528218, 5.243897280196681]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2557663271972572, 0.2557663271972572, 0.7442336728027428], 'properties': {}, 'label': 'Cl', 'xyz': [5.243897280196681, 5.243897280196681, 2.6824246951111834]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7442336728027428, 0.7442336728027428, 0.2557663271972572], 'properties': {}, 'label': 'Cl', 'xyz': [5.243897280196681, 5.243897280196681, 7.80536986528218]}]}"
1008_CsSmPtCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.253534189937823, 5.253534189937823], [5.253534189937823, 0.0, 5.253534189937823], [5.253534189937823, 5.253534189937823, 0.0]], 'pbc': (True, True, True), 'a': 7.4296193018008205, 'b': 7.4296193018008205, 'c': 7.4296193018008205, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 289.9911101999583}, 'properties': {}, 'sites': [{'species': [{'element': 'Sm', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Sm', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Pt', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Pt', 'xyz': [5.253534189937823, 5.253534189937823, 5.253534189937823]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6267670949689115, 2.6267670949689115, 2.6267670949689115]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.880301284906734, 7.880301284906734, 7.880301284906734]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7462057880691333, 0.2537942119308667, 0.2537942119308667], 'properties': {}, 'label': 'Cl', 'xyz': [2.666633139174268, 5.253534189937823, 5.253534189937823]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2537942119308667, 0.7462057880691333, 0.7462057880691333], 'properties': {}, 'label': 'Cl', 'xyz': [7.840435240701378, 5.253534189937823, 5.253534189937823]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2537942119308667, 0.7462057880691333, 0.2537942119308667], 'properties': {}, 'label': 'Cl', 'xyz': [5.253534189937823, 2.666633139174268, 5.253534189937823]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7462057880691333, 0.2537942119308667, 0.7462057880691333], 'properties': {}, 'label': 'Cl', 'xyz': [5.253534189937823, 7.840435240701378, 5.253534189937823]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2537942119308667, 0.2537942119308667, 0.7462057880691333], 'properties': {}, 'label': 'Cl', 'xyz': [5.253534189937823, 5.253534189937823, 2.666633139174268]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7462057880691333, 0.7462057880691333, 0.2537942119308667], 'properties': {}, 'label': 'Cl', 'xyz': [5.253534189937823, 5.253534189937823, 7.840435240701378]}]}"
1009_CsKVCl,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.294127587677846, 5.294127587677846], [5.294127587677846, 0.0, 5.294127587677846], [5.294127587677846, 5.294127587677846, 0.0]], 'pbc': (True, True, True), 'a': 7.487027035427567, 'b': 7.487027035427567, 'c': 7.487027035427567, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 296.7653598524034}, 'properties': {}, 'sites': [{'species': [{'element': 'K', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'K', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'V', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'V', 'xyz': [5.294127587677846, 5.294127587677846, 5.294127587677846]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.647063793838923, 2.647063793838923, 2.647063793838923]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.94119138151677, 7.94119138151677, 7.94119138151677]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7225754834096989, 0.2774245165903011, 0.2774245165903011], 'properties': {}, 'label': 'Cl', 'xyz': [2.9374415735578068, 5.294127587677846, 5.294127587677846]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2774245165903011, 0.7225754834096989, 0.7225754834096989], 'properties': {}, 'label': 'Cl', 'xyz': [7.650813601797886, 5.294127587677846, 5.294127587677846]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2774245165903011, 0.7225754834096989, 0.2774245165903011], 'properties': {}, 'label': 'Cl', 'xyz': [5.294127587677846, 2.9374415735578068, 5.294127587677846]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7225754834096989, 0.2774245165903011, 0.7225754834096989], 'properties': {}, 'label': 'Cl', 'xyz': [5.294127587677846, 7.650813601797886, 5.294127587677846]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2774245165903011, 0.2774245165903011, 0.7225754834096989], 'properties': {}, 'label': 'Cl', 'xyz': [5.294127587677846, 5.294127587677846, 2.9374415735578068]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7225754834096989, 0.7225754834096989, 0.2774245165903011], 'properties': {}, 'label': 'Cl', 'xyz': [5.294127587677846, 5.294127587677846, 7.650813601797886]}]}"
