,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-1225895,Cs-Rb,2,-1.7770325906581372,-1.8061354331411454,-38.60322189331055,-1.7913459539413452
mp-1185559,Cs-Rb,4,-3.707905590786334,-3.6799924220422464,-66.03839111328125,-3.6809353828430176
mp-1183945,Cs-Rb,4,-3.7742726804152897,-3.7734116833345754,-66.03839111328125,-3.6809353828430176
mp-1184016,Cs-Rb,4,-3.7728188814409496,-3.7763946482470163,-66.03839111328125,-3.6809353828430176
mp-862689,Cs-Rb,8,-7.033726919375797,-7.342956015784374,-176.74900817871094,-6.968897342681885
mp-1183963,Cs-Rb,8,-7.518119587071777,-7.557053832242269,-132.0767822265625,-7.361871242523193
mp-315,F-Pb,3,-14.648025825936323,-14.628582094239368,-70.15918731689453,-14.645509719848633
mp-341,F-Pb,5,-20.463815137871688,-20.532298704040503,-78.65841674804688,-20.452770233154297
mp-685150,F-Pb,6,-29.277886077645398,-29.24230255286586,-140.30393981933594,-29.27201271057129
mp-2511,F-Pb,12,-58.30947288542661,-58.24905089190304,-280.70758056640625,-58.337745666503906
mp-20652,F-Pb,16,-71.16758274914957,-71.11509379259557,-298.8567810058594,-71.1874008178711
mp-1173571,F-Pb,26,-121.10294777826414,-121.19866233000263,-671.483154296875,-121.83340454101562
mp-1206817,Cl-Tl-V,10,-44.91081425473726,-44.956796058698544,-185.4749298095703,-44.92455291748047
mp-1111686,F-Li-Ni,10,-42.374111999850655,-43.239151149995976,-63.20340347290039,-42.78793716430664
mp-758501,F-Li-Ni,10,-44.909842295533906,-45.11393963732821,-73.29808044433594,-45.46345901489258
mp-35759,F-Li-Ni,14,-64.67902739005616,-64.42883799360389,-96.92471313476562,-64.96791076660156
mp-1211465,F-Li-Ni,40,-177.10735706730992,-178.1378249290596,-260.2481384277344,-177.2244415283203
mp-978034,Rb-Sm,4,-5.2030383901696124,-5.1870248710452165,-77.14460754394531,-5.208869934082031
mp-1186874,Rb-Sm,4,-5.193757969365762,-5.193004350900513,-77.15098571777344,-5.198311805725098
mp-974816,Rb-Sm,4,-5.1590040126096826,-5.111912209095816,-77.19852447509766,-5.082660675048828
mp-1703,Yb-Zn,2,-3.436793611810328,-3.4109193587396085,-45.176029205322266,-3.460902214050293
mp-11577,Yb-Zn,2,-3.0192168025492925,-2.9735884018987777,-44.6143913269043,-2.961587905883789
mp-657,Yb-Zn,6,-10.292582652451552,-10.25272423252382,-109.26599884033203,-10.306615829467773
mp-1187815,Yb-Zn,8,-12.662402975542639,-12.618820230248419,-126.90904998779297,-12.674488067626953
mp-1104142,Yb-Zn,14,-22.60644315302481,-22.606253013673648,-209.5516357421875,-22.859527587890625
mp-568437,Yb-Zn,19,-28.4420896356267,-28.495068980081626,-226.79525756835938,-28.554523468017578
mp-864767,Yb-Zn,24,-35.23433363085789,-35.23694292724042,-271.50225830078125,-35.21236801147461
mp-1194047,Yb-Zn,28,-40.18952777299287,-40.31820921027333,-306.7607116699219,-39.8527946472168
mp-1209585,Yb-Zn,30,-41.93013149228734,-41.88086719854336,-482.38287353515625,-42.840267181396484
mp-1204417,Yb-Zn,38,-56.808051486688285,-56.90985950828813,-453.59271240234375,-57.08185958862305
mp-1202230,Yb-Zn,80,-121.81128835345308,-122.99810908623574,-1052.3192138671875,-121.73320007324219
mp-1204970,Yb-Zn,142,-226.36414888095385,-227.26079482281483,-2003.6558837890625,-226.67581176757812
mp-11475,Hg-Tm,2,-5.728435320220116,-5.71347670216827,-85.95600128173828,-5.7236480712890625
mp-1187636,Hg-Tm,4,-14.327466263508052,-14.359547693691907,-156.4149932861328,-14.36319637298584
mp-865327,Hg-Tm,8,-13.240374872522308,-13.280642800446756,-370.53619384765625,-13.280168533325195
mp-1192894,Co-Cs-I,28,-86.16129964715931,-85.87614498389974,-678.1932373046875,-85.993408203125
mp-569323,Co-Cs-I,36,-108.51639691582974,-108.22750579698055,-891.0426635742188,-108.1485595703125
mp-14653,Ag-F-Sb,15,-64.35395611738792,-64.25797966516357,-143.85260009765625,-64.21214294433594
mp-3414,Ag-F-Sb,32,-138.10919875970262,-137.61937329203698,-333.4895324707031,-138.0955352783203
mp-1195261,Ag-F-Sb,62,-268.20290494816186,-267.2048978683442,-622.2334594726562,-267.9553527832031
mp-1182129,Be-F-Pb,24,-127.41521290490218,-127.15638971010662,-364.253662109375,-127.19120788574219
mp-672214,Be-F-Pb,24,-126.79896556587906,-126.70433153716675,-363.8927307128906,-126.75904846191406
mp-569807,Br-Rb-Ti,10,-41.16740884390177,-41.17158823133776,-149.1613006591797,-41.20937728881836
mp-569348,Br-Ga-Tl,48,-139.17641083395878,-138.881376503089,-990.5414428710938,-139.06634521484375
mp-1205355,Br-Mo,8,-36.03063727372569,-36.20881707919486,-137.34927368164062,-36.0645637512207
mp-23312,Br-Mo,16,-72.01801492936727,-72.25180340116796,-274.8435363769531,-72.03123474121094
mp-29555,Br-Mo,36,-193.98818857568318,-193.81629028518532,-657.724365234375,-193.78057861328125
mp-1186169,Na-Pr,4,-14.755319295449764,-14.721512058611825,-96.33375549316406,-14.740924835205078
mp-1186070,Na-Pr,4,-7.478411783645484,-7.552258330295009,-40.82559585571289,-7.545717716217041
mp-1186034,Ag-Na,4,-6.754683272222613,-6.796316820741007,-31.811567306518555,-6.804145812988281
mp-1186100,Ag-Na,4,-9.797165203165779,-9.83311966640157,-67.43339538574219,-9.791756629943848
mp-1186017,Ag-Na,4,-6.759222162048305,-6.798260829476299,-31.834087371826172,-6.819955348968506
mp-973174,Ag-Na,4,-9.831672025838163,-9.848542471619322,-67.46263885498047,-9.8431396484375
mp-30352,Ag-Na,6,-14.562274807209539,-14.659699615318624,-92.77650451660156,-14.51015853881836
mp-1186033,Ag-Na,8,-13.577107371356247,-13.601833182758071,-63.65781784057617,-13.652050018310547
mp-1210281,Ag-Na,10,-14.429319164212329,-14.492071238050876,-68.35655212402344,-14.292309761047363
mp-31012,Br-K-Nb,28,-127.19615831519184,-127.17060235923768,-447.1090087890625,-127.19461059570312
mp-714973,Br-K-Nb,28,-127.22050575392905,-127.15769279744953,-447.123046875,-127.25221252441406
mp-3980,F-Li-Sb,8,-37.65734260515115,-37.500098430833276,-68.74823760986328,-37.59266662597656
mp-1211789,F-Li-Sb,10,-46.52470887016001,-46.17801100372458,-78.00828552246094,-46.4658203125
mp-1237474,F-Li-Sb,10,-46.74700970799823,-46.840592367534455,-79.2326889038086,-46.860694885253906
mp-1110577,F-Li-Sb,10,-45.02664490209424,-45.1010417269595,-76.85653686523438,-45.000762939453125
mp-1190441,F-Li-Sb,24,-115.69453199864495,-115.49211269719802,-228.2098388671875,-115.58921813964844
mp-1195657,F-Li-Sb,40,-192.69943140575478,-192.24353509864682,-408.7333984375,-192.60403442382812
mp-760014,F-Li-Sb,96,-456.6969633615486,-455.9598857969599,-906.0219116210938,-456.1375732421875
mp-2090,Co-Fe,2,-15.70622797848512,-15.416391785046978,-28.033851623535156,-15.579344749450684
mp-1225016,Co-Fe,2,-15.597624961328435,-15.405445736555848,-27.77012825012207,-15.548636436462402
mp-1007852,Co-Fe,4,-29.698726628523943,-29.56033791751951,-54.04005813598633,-29.720373153686523
mp-601820,Co-Fe,4,-32.62408151155531,-32.1012057892264,-56.836700439453125,-32.650848388671875
mp-1225083,Co-Fe,4,-29.673032419790104,-29.452038474240027,-53.95768737792969,-29.250045776367188
mp-1084832,Co-Fe,8,-64.05185383173568,-62.93336258220385,-112.89701080322266,-63.78750991821289
mp-1080603,Co-Fe,8,-66.45988676095104,-65.43210193817944,-114.46700286865234,-66.40133666992188
mp-1096987,Co-Fe,10,-66.27761247050893,-66.41640552320342,-127.39894104003906,-66.3121337890625
mp-18695,Co-Fe,16,-134.24724120428408,-131.84873026261764,-229.75636291503906,-133.28863525390625
mp-641526,Co-Fe,16,-131.7323645434964,-129.65258837554086,-228.13087463378906,-131.45584106445312
mp-601842,Co-Fe,16,-126.89571615673833,-124.66392811305477,-225.03990173339844,-125.95196533203125
mp-554601,Cu-F-Rb,5,-21.039980926747333,-21.032810931944198,-45.874305725097656,-21.05786895751953
mp-1025177,Cu-F-Rb,7,-29.379541862932996,-29.41305629904396,-68.8424301147461,-29.437902450561523
mp-1206438,Cu-F-Rb,9,-35.319472273720365,-35.14838585585353,-77.63128662109375,-35.33966827392578
mp-8858,Cu-F-Rb,10,-42.19121998635739,-42.17850029306662,-91.82554626464844,-42.19768524169922
mp-27761,F-Li-Th,44,-249.92609291701513,-249.69489368553855,-566.1196899414062,-249.58078002929688
mp-1196169,F-Li-Th,56,-363.56863509714054,-363.18979906740657,-961.4674072265625,-363.46063232421875
mp-27176,Cl-Mn-Na,10,-45.70207372544705,-45.7575487863901,-91.03490447998047,-45.688316345214844
mp-27126,Cl-Mn-Na,13,-61.88374288426166,-61.918624332609966,-122.93264770507812,-61.91898727416992
mp-27280,Cl-Mn-Na,14,-59.25694578218295,-59.257036105781395,-118.63507843017578,-59.3436279296875
mp-27125,Cl-Mn-Na,15,-56.85748575841964,-56.86140169191235,-114.5783462524414,-56.883750915527344
mp-30297,F-Sr-V,56,-335.29573026273414,-334.77175992437884,-564.0633544921875,-334.90411376953125
mp-1208227,F-Pb-V,54,-293.7228823870206,-293.12612149341015,-919.428466796875,-293.471923828125
mp-1208828,F-Pb-V,56,-312.14094733971024,-312.0277111131931,-851.489501953125,-312.51995849609375
mp-1216236,Pt-V,2,-15.825035045300982,-15.797782075463676,-66.19087219238281,-15.755571365356445
mp-12108,Pt-V,3,-22.830197908734693,-22.84892069389099,-118.61587524414062,-22.83614158630371
mp-1017531,Pt-V,4,-32.50428881434287,-32.477383537095164,-133.31027221679688,-32.54551696777344
mp-1216270,Pt-V,4,-28.51849140839397,-28.425728386514123,-169.7653350830078,-28.440298080444336
mp-636331,Pt-V,4,-34.49505775453842,-34.46664945496747,-94.6729507446289,-34.47407913208008
mp-372,Pt-V,4,-29.036050976240944,-29.03333631441359,-170.58384704589844,-29.095783233642578
mp-2705,Pt-V,4,-29.092217007613208,-29.14380607006695,-170.45339965820312,-29.20107078552246
mp-2678,Pt-V,4,-32.55768022211135,-32.430792295879,-133.4696502685547,-32.433143615722656
mp-2211,Pt-V,8,-70.23509330122553,-70.08144672133672,-190.6019287109375,-70.1287841796875
mp-1079997,Pt-V,9,-60.028254133079926,-59.894925328901266,-428.17193603515625,-59.75779724121094
mp-998323,Br-Cs-In,5,-14.624995035406819,-14.62223735768291,-94.3371353149414,-14.628219604492188
mp-2649045,Br-Cs-In,5,-14.622966344523542,-14.617478190950282,-94.34249877929688,-14.626923561096191
mp-1112651,Br-Cs-In,10,-29.371011889340952,-29.359720635137524,-193.32452392578125,-29.28274154663086
mp-1112338,Br-Cs-In,10,-29.388879076884365,-29.380151217435433,-188.9127960205078,-29.39080810546875
mp-2646972,Zn,1,-1.248147252245427,-1.2589767372509666,-8.876832008361816,-1.248723030090332
mp-2647117,Zn,1,-1.1828117056189469,-1.22472859788073,-8.833611488342285,-1.2168660163879395
mp-79,Zn,2,-2.5299702649821323,-2.519884687245818,-17.7457218170166,-2.509115695953369
