comp_name,A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau,NotSim
CsLiAlF,Cs2LiAlF6,Cs,Li,Al,F,1,1,3,-1,188.0,76.0,53.5,64.75,133.0,3.7779985118493298,False
CsLiPF,Cs2LiPF6,Cs,Li,P,F,1,1,3,-1,188.0,76.0,44.0,60.0,133.0,3.9601571357507455,False
CsLiScF,Cs2LiScF6,Cs,Li,Sc,F,1,1,3,-1,188.0,76.0,74.5,75.25,133.0,3.4959999277312552,False
CsLiScCl,Cs2LiScCl6,Cs,Li,Sc,Cl,1,1,3,-1,188.0,76.0,74.5,75.25,181.0,4.133873681884079,False
CsLiTiF,Cs2LiTiF6,Cs,Li,Ti,F,1,1,3,-1,188.0,76.0,67.0,71.5,133.0,3.57995941293735,False
CsLiVF,Cs2LiVF6,Cs,Li,V,F,1,1,3,-1,188.0,76.0,64.0,70.0,133.0,3.618480894994283,False
CsLiCrF,Cs2LiCrF6,Cs,Li,Cr,F,1,1,3,-1,188.0,76.0,61.5,68.75,133.0,3.652875455522483,False
CsLiMnF,Cs2LiMnF6,Cs,Li,Mn,F,1,1,3,-1,188.0,76.0,61.25,68.625,133.0,3.6564329951429615,False
CsLiFeF,Cs2LiFeF6,Cs,Li,Fe,F,1,1,3,-1,188.0,76.0,59.75,67.875,133.0,3.678239359519684,False
CsLiCoF,Cs2LiCoF6,Cs,Li,Co,F,1,1,3,-1,188.0,76.0,57.75,66.875,133.0,3.708569659897432,False
CsLiNiF,Cs2LiNiF6,Cs,Li,Ni,F,1,1,3,-1,188.0,76.0,58.0,67.0,133.0,3.7046985036311177,False
CsLiCuF,Cs2LiCuF6,Cs,Li,Cu,F,1,1,3,-1,188.0,76.0,54.0,65.0,133.0,3.769467166597487,False
CsLiGaF,Cs2LiGaF6,Cs,Li,Ga,F,1,1,3,-1,188.0,76.0,62.0,69.0,133.0,3.645825462081981,False
CsLiAsF,Cs2LiAsF6,Cs,Li,As,F,1,1,3,-1,188.0,76.0,57.99999999999999,67.0,133.0,3.7046985036311177,False
