A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau
Li2BeMgF6,Li,Be,Mg,F,1,2,2,-1,92.0,45.0,72.0,58.5,133.0,4.746963150590868
Li2BeMgCl6,Li,Be,Mg,Cl,1,2,2,-1,92.0,45.0,72.0,58.5,181.0,5.567475971103688
Li2BeMgBr6,Li,Be,Mg,Br,1,2,2,-1,92.0,45.0,72.0,58.5,196.0,5.823886227513945
Li2BeMgI6,Li,Be,Mg,I,1,2,2,-1,92.0,45.0,72.0,58.5,220.00000000000003,6.234142637770356
Li2BeCaF6,Li,Be,Ca,F,1,2,2,-1,92.0,45.0,100.0,72.5,133.0,6.161748845087936
Li2BeCaCl6,Li,Be,Ca,Cl,1,2,2,-1,92.0,45.0,100.0,72.5,181.0,6.823817810605178
Li2BeCaBr6,Li,Be,Ca,Br,1,2,2,-1,92.0,45.0,100.0,72.5,196.0,7.030714362329316
Li2BeCaI6,Li,Be,Ca,I,1,2,2,-1,92.0,45.0,100.0,72.5,220.00000000000003,7.361748845087936
Li2BeTiF6,Li,Be,Ti,F,1,2,2,-1,92.0,45.0,86.0,65.5,133.0,5.164833006873957
Li2BeTiCl6,Li,Be,Ti,Cl,1,2,2,-1,92.0,45.0,86.0,65.5,181.0,5.8976574343548736
Li2BeTiBr6,Li,Be,Ti,Br,1,2,2,-1,92.0,45.0,86.0,65.5,196.0,6.12666506794266
Li2BeTiI6,Li,Be,Ti,I,1,2,2,-1,92.0,45.0,86.0,65.5,220.00000000000003,6.493077281683118
Li2BeVF6,Li,Be,V,F,1,2,2,-1,92.0,45.0,79.0,62.0,133.0,4.905088329757369
Li2BeVCl6,Li,Be,V,Cl,1,2,2,-1,92.0,45.0,79.0,62.0,181.0,5.679281878144465
Li2BeVBr6,Li,Be,V,Br,1,2,2,-1,92.0,45.0,79.0,62.0,196.0,5.921217362015433
Li2BeVI6,Li,Be,V,I,1,2,2,-1,92.0,45.0,79.0,62.0,220.00000000000003,6.308314136208982
Li2BeCrF6,Li,Be,Cr,F,1,2,2,-1,92.0,45.0,76.5,60.75,133.0,4.838275973155406
Li2BeCrCl6,Li,Be,Cr,Cl,1,2,2,-1,92.0,45.0,76.5,60.75,181.0,5.628399429945531
Li2BeCrBr6,Li,Be,Cr,Br,1,2,2,-1,92.0,45.0,76.5,60.75,196.0,5.8753130101924445
Li2BeCrI6,Li,Be,Cr,I,1,2,2,-1,92.0,45.0,76.5,60.75,220.00000000000003,6.270374738587506
Li2BeMnF6,Li,Be,Mn,F,1,2,2,-1,92.0,45.0,75.0,60.0,133.0,4.803881085738924
Li2BeMnCl6,Li,Be,Mn,Cl,1,2,2,-1,92.0,45.0,75.0,60.0,181.0,5.603881085738923
Li2BeMnBr6,Li,Be,Mn,Br,1,2,2,-1,92.0,45.0,75.0,60.0,196.0,5.853881085738923
Li2BeMnI6,Li,Be,Mn,I,1,2,2,-1,92.0,45.0,75.0,60.0,220.00000000000003,6.253881085738923
Li2BeFeF6,Li,Be,Fe,F,1,2,2,-1,92.0,45.0,69.5,57.25,133.0,4.710832218009157
Li2BeFeCl6,Li,Be,Fe,Cl,1,2,2,-1,92.0,45.0,69.5,57.25,181.0,5.549260165607411
Li2BeFeBr6,Li,Be,Fe,Br,1,2,2,-1,92.0,45.0,69.5,57.25,196.0,5.811268899231865
Li2BeFeI6,Li,Be,Fe,I,1,2,2,-1,92.0,45.0,69.5,57.25,220.00000000000003,6.230482873030992
Li2BeCoF6,Li,Be,Co,F,1,2,2,-1,92.0,45.0,69.75,57.375,133.0,4.714004151149575
Li2BeCoCl6,Li,Be,Co,Cl,1,2,2,-1,92.0,45.0,69.75,57.375,181.0,5.550605458339117
Li2BeCoBr6,Li,Be,Co,Br,1,2,2,-1,92.0,45.0,69.75,57.375,196.0,5.81204336683585
Li2BeCoI6,Li,Be,Co,I,1,2,2,-1,92.0,45.0,69.75,57.375,220.00000000000003,6.230344020430621
Li2BeNiF6,Li,Be,Ni,F,1,2,2,-1,92.0,45.0,69.0,57.0,133.0,4.704775367729189
Li2BeNiCl6,Li,Be,Ni,Cl,1,2,2,-1,92.0,45.0,69.0,57.0,181.0,5.546880630887084
Li2BeNiBr6,Li,Be,Ni,Br,1,2,2,-1,92.0,45.0,69.0,57.0,196.0,5.810038525623925
Li2BeNiI6,Li,Be,Ni,I,1,2,2,-1,92.0,45.0,69.0,57.0,220.00000000000003,6.231091157202874
Li2BeCuF6,Li,Be,Cu,F,1,2,2,-1,92.0,45.0,73.0,59.0,133.0,4.7642385409523165
Li2BeCuCl6,Li,Be,Cu,Cl,1,2,2,-1,92.0,45.0,73.0,59.0,181.0,5.577797862986214
Li2BeCuBr6,Li,Be,Cu,Br,1,2,2,-1,92.0,45.0,73.0,59.0,196.0,5.832035151121808
Li2BeCuI6,Li,Be,Cu,I,1,2,2,-1,92.0,45.0,73.0,59.0,220.00000000000003,6.238814812138758
Li2BeZnF6,Li,Be,Zn,F,1,2,2,-1,92.0,45.0,74.0,59.5,133.0,4.783194471433415
Li2BeZnCl6,Li,Be,Zn,Cl,1,2,2,-1,92.0,45.0,74.0,59.5,181.0,5.589917160509045
Li2BeZnBr6,Li,Be,Zn,Br,1,2,2,-1,92.0,45.0,74.0,59.5,196.0,5.842018000845179
Li2BeZnI6,Li,Be,Zn,I,1,2,2,-1,92.0,45.0,74.0,59.5,220.00000000000003,6.245379345382995
Li2BeGeF6,Li,Be,Ge,F,1,2,2,-1,92.0,45.0,73.0,59.0,133.0,4.7642385409523165
Li2BeGeCl6,Li,Be,Ge,Cl,1,2,2,-1,92.0,45.0,73.0,59.0,181.0,5.577797862986214
Li2BeGeBr6,Li,Be,Ge,Br,1,2,2,-1,92.0,45.0,73.0,59.0,196.0,5.832035151121808
Li2BeGeI6,Li,Be,Ge,I,1,2,2,-1,92.0,45.0,73.0,59.0,220.00000000000003,6.238814812138758
Li2BeSrF6,Li,Be,Sr,F,1,2,2,-1,92.0,45.0,118.0,81.5,133.0,9.946826701301536
Li2BeSrCl6,Li,Be,Sr,Cl,1,2,2,-1,92.0,45.0,118.0,81.5,181.0,10.53578375651626
Li2BeSrBr6,Li,Be,Sr,Br,1,2,2,-1,92.0,45.0,118.0,81.5,196.0,10.71983283627086
Li2BeSrI6,Li,Be,Sr,I,1,2,2,-1,92.0,45.0,118.0,81.5,220.00000000000003,11.014311363878223
Li2BePdF6,Li,Be,Pd,F,1,2,2,-1,92.0,45.0,86.0,65.5,133.0,5.164833006873957
Li2BePdCl6,Li,Be,Pd,Cl,1,2,2,-1,92.0,45.0,86.0,65.5,181.0,5.8976574343548736
Li2BePdBr6,Li,Be,Pd,Br,1,2,2,-1,92.0,45.0,86.0,65.5,196.0,6.12666506794266
Li2BePdI6,Li,Be,Pd,I,1,2,2,-1,92.0,45.0,86.0,65.5,220.00000000000003,6.493077281683118
Li2BeAgF6,Li,Be,Ag,F,1,2,2,-1,92.0,45.0,94.0,69.5,133.0,5.633530706013017
Li2BeAgCl6,Li,Be,Ag,Cl,1,2,2,-1,92.0,45.0,94.0,69.5,181.0,6.324178188027406
Li2BeAgBr6,Li,Be,Ag,Br,1,2,2,-1,92.0,45.0,94.0,69.5,196.0,6.540005526156902
Li2BeAgI6,Li,Be,Ag,I,1,2,2,-1,92.0,45.0,94.0,69.5,220.00000000000003,6.8853292671640975
Li2BeCdF6,Li,Be,Cd,F,1,2,2,-1,92.0,45.0,95.0,70.0,133.0,5.709066105791592
Li2BeCdCl6,Li,Be,Cd,Cl,1,2,2,-1,92.0,45.0,95.0,70.0,181.0,6.394780391505877
Li2BeCdBr6,Li,Be,Cd,Br,1,2,2,-1,92.0,45.0,95.0,70.0,196.0,6.609066105791592
