A2BBX6,A,B1,nB1,B2,nB2,X
Cs2AgLuCl6,Cs,Ag,1,Lu,3,Cl
Cs2VAuCl6,Cs,V,3,Au,1,Cl
Cs2NaPrCl6,Cs,Na,1,Pr,3,Cl
Cs2VSmCl6,Cs,V,2,Sm,2,Cl
Cs2PtAmCl6,Cs,Pt,2,Am,2,Cl
Cs2MgNdCl6,Cs,Mg,2,Nd,2,Cl
Cs2AgYbCl6,Cs,Ag,1,Yb,3,Cl
Cs2NaPuCl6,Cs,Na,1,Pu,3,Cl
Cs2CaYbCl6,Cs,Ca,2,Yb,2,Cl
Cs2GeNdCl6,Cs,Ge,2,Nd,2,Cl
Cs2CdDyCl6,Cs,Cd,2,Dy,2,Cl
Cs2KVCl6,Cs,K,1,V,3,Cl
Cs2SmPtCl6,Cs,Sm,2,Pt,2,Cl
Cs2CaHgCl6,Cs,Ca,2,Hg,2,Cl
Cs2NaNdCl6,Cs,Na,1,Nd,3,Cl
Cs2KGaCl6,Cs,K,1,Ga,3,Cl
Cs2AgAuCl6,Cs,Ag,1,Au,3,Cl
Cs2VAmCl6,Cs,V,2,Am,2,Cl
Cs2NaCeCl6,Cs,Na,1,Ce,3,Cl
Cs2NaNpCl6,Cs,Na,1,Np,3,Cl
Cs2ZnNdCl6,Cs,Zn,2,Nd,2,Cl
Cs2AgTmCl6,Cs,Ag,1,Tm,3,Cl
Cs2TiEuCl6,Cs,Ti,2,Eu,2,Cl
Cs2CaTmCl6,Cs,Ca,2,Tm,2,Cl
Cs2NaAmCl6,Cs,Na,1,Am,3,Cl
Cs2KCrCl6,Cs,K,1,Cr,3,Cl
Cs2KMnCl6,Cs,K,1,Mn,3,Cl
Cs2AgTlCl6,Cs,Ag,1,Tl,3,Cl
Cs2AlTlCl6,Cs,Al,3,Tl,1,Cl
Cs2RhAuCl6,Cs,Rh,3,Au,1,Cl
Cs2PtPbCl6,Cs,Pt,2,Pb,2,Cl
Cs2NaCmCl6,Cs,Na,1,Cm,3,Cl
Cs2GaAuCl6,Cs,Ga,3,Au,1,Cl
Cs2InHgCl6,Cs,In,3,Hg,1,Cl
Cs2NaPmCl6,Cs,Na,1,Pm,3,Cl
Cs2CoNdCl6,Cs,Co,2,Nd,2,Cl
Cs2AgErCl6,Cs,Ag,1,Er,3,Cl
Cs2MnNdCl6,Cs,Mn,2,Nd,2,Cl
Cs2SrPdCl6,Cs,Sr,2,Pd,2,Cl
Cs2TiAuCl6,Cs,Ti,3,Au,1,Cl
Cs2TiSrCl6,Cs,Ti,2,Sr,2,Cl
Cs2NiBaCl6,Cs,Ni,2,Ba,2,Cl
Cs2AuHgCl6,Cs,Au,3,Hg,1,Cl
Cs2CrSmCl6,Cs,Cr,2,Sm,2,Cl
Cs2CrAuCl6,Cs,Cr,3,Au,1,Cl
Cs2FeNdCl6,Cs,Fe,2,Nd,2,Cl
Cs2MnAuCl6,Cs,Mn,3,Au,1,Cl
Cs2NaUCl6,Cs,Na,1,U,3,Cl
Cs2FeBaCl6,Cs,Fe,2,Ba,2,Cl
Cs2KRhCl6,Cs,K,1,Rh,3,Cl
Cs2SrPtCl6,Cs,Sr,2,Pt,2,Cl
Cs2VPbCl6,Cs,V,2,Pb,2,Cl
Cs2CdTmCl6,Cs,Cd,2,Tm,2,Cl
Cs2NiNdCl6,Cs,Ni,2,Nd,2,Cl
Cs2CoBaCl6,Cs,Co,2,Ba,2,Cl
Cs2CuThCl6,Cs,Cu,1,Th,3,Cl
Cs2NaSmCl6,Cs,Na,1,Sm,3,Cl
Cs2KFeCl6,Cs,K,1,Fe,3,Cl
Cs2KTiCl6,Cs,K,1,Ti,3,Cl
Cs2CdNpCl6,Cs,Cd,2,Np,2,Cl
Cs2RuAuCl6,Cs,Ru,3,Au,1,Cl
Cs2IrAuCl6,Cs,Ir,3,Au,1,Cl
Cs2TiPbCl6,Cs,Ti,2,Pb,2,Cl
Cs2YAgCl6,Cs,Y,3,Ag,1,Cl
Cs2NaBiCl6,Cs,Na,1,Bi,3,Cl
Cs2TmYbCl6,Cs,Tm,2,Yb,2,Cl
Cs2PdPbCl6,Cs,Pd,2,Pb,2,Cl
Cs2AgHoCl6,Cs,Ag,1,Ho,3,Cl
Cs2LuHgCl6,Cs,Lu,3,Hg,1,Cl
Cs2NaLaCl6,Cs,Na,1,La,3,Cl
Cs2CrAmCl6,Cs,Cr,2,Am,2,Cl
Cs2CrNdCl6,Cs,Cr,2,Nd,2,Cl
Cs2AlRbCl6,Cs,Al,3,Rb,1,Cl
Cs2CdHgCl6,Cs,Cd,2,Hg,2,Cl
Cs2VSrCl6,Cs,V,2,Sr,2,Cl
Cs2MnSmCl6,Cs,Mn,2,Sm,2,Cl
Cs2CdYbCl6,Cs,Cd,2,Yb,2,Cl
Cs2EuPtCl6,Cs,Eu,2,Pt,2,Cl
Cs2LiThCl6,Cs,Li,1,Th,3,Cl
Cs2YbHgCl6,Cs,Yb,3,Hg,1,Cl
Cs2FeAuCl6,Cs,Fe,3,Au,1,Cl
Cs2NaEuCl6,Cs,Na,1,Eu,3,Cl
Cs2KRuCl6,Cs,K,1,Ru,3,Cl
Cs2MoAuCl6,Cs,Mo,3,Au,1,Cl
Cs2CuRbCl6,Cs,Cu,3,Rb,1,Cl
Cs2NaPaCl6,Cs,Na,1,Pa,3,Cl
Cs2KIrCl6,Cs,K,1,Ir,3,Cl
Cs2AgDyCl6,Cs,Ag,1,Dy,3,Cl
Cs2ZnSmCl6,Cs,Zn,2,Sm,2,Cl
Cs2KNiCl6,Cs,K,1,Ni,3,Cl
Cs2KAsCl6,Cs,K,1,As,3,Cl
Cs2PRbCl6,Cs,P,3,Rb,1,Cl
Cs2NFrCl6,Cs,N,3,Fr,1,Cl
Cs2VEuCl6,Cs,V,2,Eu,2,Cl
Cs2MnAmCl6,Cs,Mn,2,Am,2,Cl
Cs2TiNpCl6,Cs,Ti,2,Np,2,Cl
Cs2NaGdCl6,Cs,Na,1,Gd,3,Cl
Cs2KCoCl6,Cs,K,1,Co,3,Cl
Cs2TiAmCl6,Cs,Ti,2,Am,2,Cl
Cs2BFrCl6,Cs,B,3,Fr,1,Cl
Cs2KMoCl6,Cs,K,1,Mo,3,Cl
Cs2TmHgCl6,Cs,Tm,3,Hg,1,Cl
Cs2CaDyCl6,Cs,Ca,2,Dy,2,Cl
Cs2MgBaCl6,Cs,Mg,2,Ba,2,Cl
Cs2CrPbCl6,Cs,Cr,2,Pb,2,Cl
Cs2AgTbCl6,Cs,Ag,1,Tb,3,Cl
Cs2HgTlCl6,Cs,Hg,1,Tl,3,Cl
Cs2CaCdCl6,Cs,Ca,2,Cd,2,Cl
Cs2SbHgCl6,Cs,Sb,3,Hg,1,Cl
Cs2AsAuCl6,Cs,As,3,Au,1,Cl
Cs2GeSmCl6,Cs,Ge,2,Sm,2,Cl
Cs2PdHgCl6,Cs,Pd,3,Hg,1,Cl
Cs2AgInCl6,Cs,Ag,1,In,3,Cl
Cs2ZnAmCl6,Cs,Zn,2,Am,2,Cl
Cs2NiAuCl6,Cs,Ni,3,Au,1,Cl
Cs2CoTlCl6,Cs,Co,3,Tl,1,Cl
Cs2CoAuCl6,Cs,Co,3,Au,1,Cl
Cs2TiSmCl6,Cs,Ti,2,Sm,2,Cl
Cs2VNdCl6,Cs,V,2,Nd,2,Cl
Cs2AsTlCl6,Cs,As,3,Tl,1,Cl
Cs2NiTlCl6,Cs,Ni,3,Tl,1,Cl
Cs2CuBaCl6,Cs,Cu,2,Ba,2,Cl
Cs2GeBaCl6,Cs,Ge,2,Ba,2,Cl
Cs2ErHgCl6,Cs,Er,3,Hg,1,Cl
Cs2CrSrCl6,Cs,Cr,2,Sr,2,Cl
Cs2NaTbCl6,Cs,Na,1,Tb,3,Cl
Cs2MgSmCl6,Cs,Mg,2,Sm,2,Cl
Cs2AgHgCl6,Cs,Ag,3,Hg,1,Cl
Cs2GeAmCl6,Cs,Ge,2,Am,2,Cl
Cs2MnPbCl6,Cs,Mn,2,Pb,2,Cl
Cs2CaAgCl6,Cs,Ca,2,Ag,2,Cl
Cs2TeCl6,Cs,Te,4,Vac,0,Cl
Cs2PTlCl6,Cs,P,3,Tl,1,Cl
Cs2AgGdCl6,Cs,Ag,1,Gd,3,Cl
Cs2YHgCl6,Cs,Y,3,Hg,1,Cl
Cs2DyYbCl6,Cs,Dy,2,Yb,2,Cl
Cs2NdPtCl6,Cs,Nd,2,Pt,2,Cl
Cs2NbAuCl6,Cs,Nb,3,Au,1,Cl
Cs2TaAuCl6,Cs,Ta,3,Au,1,Cl
Cs2ZnBaCl6,Cs,Zn,2,Ba,2,Cl
Cs2HoHgCl6,Cs,Ho,3,Hg,1,Cl
Cs2ScHgCl6,Cs,Sc,3,Hg,1,Cl
Cs2CrEuCl6,Cs,Cr,2,Eu,2,Cl
Cs2NaDyCl6,Cs,Na,1,Dy,3,Cl
Cs2TiDyCl6,Cs,Ti,2,Dy,2,Cl
Cs2BeRaCl6,Cs,Be,2,Ra,2,Cl
Cs2MgAmCl6,Cs,Mg,2,Am,2,Cl
Cs2ZnPbCl6,Cs,Zn,2,Pb,2,Cl
Cs2MnSrCl6,Cs,Mn,2,Sr,2,Cl
Cs2AgEuCl6,Cs,Ag,1,Eu,3,Cl
Cs2CoRbCl6,Cs,Co,3,Rb,1,Cl
Cs2FeTlCl6,Cs,Fe,3,Tl,1,Cl
Cs2AsRbCl6,Cs,As,3,Rb,1,Cl
Cs2NiRbCl6,Cs,Ni,3,Rb,1,Cl
Cs2DyTmCl6,Cs,Dy,2,Tm,2,Cl
Cs2MnBaCl6,Cs,Mn,2,Ba,2,Cl
Cs2CaNpCl6,Cs,Ca,2,Np,2,Cl
Cs2KNbCl6,Cs,K,1,Nb,3,Cl
Cs2KTaCl6,Cs,K,1,Ta,3,Cl
Cs2DyHgCl6,Cs,Dy,3,Hg,1,Cl
Cs2NaHoCl6,Cs,Na,1,Ho,3,Cl
Cs2ZnSrCl6,Cs,Zn,2,Sr,2,Cl
Cs2GePbCl6,Cs,Ge,2,Pb,2,Cl
Cs2CuPbCl6,Cs,Cu,2,Pb,2,Cl
Cs2NaYCl6,Cs,Na,1,Y,3,Cl
Cs2KCuCl6,Cs,K,1,Cu,3,Cl
Cs2MnEuCl6,Cs,Mn,2,Eu,2,Cl
Cs2AgSmCl6,Cs,Ag,1,Sm,3,Cl
Cs2CoSmCl6,Cs,Co,2,Sm,2,Cl
Cs2AlKCl6,Cs,Al,3,K,1,Cl
Cs2FeSmCl6,Cs,Fe,2,Sm,2,Cl
Cs2MnTlCl6,Cs,Mn,3,Tl,1,Cl
Cs2TbHgCl6,Cs,Tb,3,Hg,1,Cl
