CollectionCode	CcdcNo	HMS	StructuredFormula	StructureType	Title	Authors	Reference	CellParameter	ReducedCellParameter	StandardisedCellParameter	Temperature	Pressure	MineralName	PublicationYear	Quality	
18989		F m -3 m	Cs2 Ag Bi Br6	K2NaAlF6	Lead-free halide double perovskite \(Cs_2 AgBiBr_6\) with decreased band gap	Ji, Fuxiang; Klarbring, Johan; Wang, Feng; Ning, Weihua; Wang, Linqin; Yin, Chunyang; Mendoza Figueroa, José Silvestre; Christensen, Christian Kolle; Etter, Martin; Ederth, Thomas; Sun, Licheng; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Angewandte Chemie, International Edition (2020) 59, (35) p. 15191-15194	11.2695(4) 11.2695(4) 11.2695(4) 90.00 90.00 90.00	7.9687 7.9687 7.9687 60.000 60.000 60.000	11.2695 11.2695 11.2695 90.000 90.000 90.000	298.00	0.101325		2020	10	
18990		F m -3 m	Cs2 Ag Bi Br6	K2NaAlF6	Lead-free halide double perovskite \(Cs_2 AgBiBr_6\) with decreased band gap	Ji, Fuxiang; Klarbring, Johan; Wang, Feng; Ning, Weihua; Wang, Linqin; Yin, Chunyang; Mendoza Figueroa, José Silvestre; Christensen, Christian Kolle; Etter, Martin; Ederth, Thomas; Sun, Licheng; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Angewandte Chemie, International Edition (2020) 59, (35) p. 15191-15194	11.2636(15) 11.2636(15) 11.2636(15) 90.00 90.00 90.00	7.9646 7.9646 7.9646 60.000 60.000 60.000	11.2636 11.2636 11.2636 90.000 90.000 90.000	298.00	0.101325		2020	10	
21475	1863105	F m -3 m	Cs2 Ag Tl Br6	K2NaAlF6	Small-band-gap halide double perovskites	Slavney, Adam H.; Leppert, Linn; Saldivar Valdes, Abraham; Bartesaghi, Davide; Savenije, Tom J.; Neaton, Jeffrey B.; Karunadasa, Hemamala I.	Angewandte Chemie, International Edition (2018) 57, (39) p. 12765-12770	11.0828(6) 11.0828(6) 11.0828(6) 90 90 90	7.8367 7.8367 7.8367 60.000 60.000 60.000	11.0828 11.0828 11.0828 90.000 90.000 90.000	296.00	0.101325		2018	10	
65733		F m -3 m	Cs2 Na Y Br6	K2NaAlF6	Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices	Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.	Inorganic Chemistry (1989) 28,  p. 3249-3258	11.3047(6) 11.3047(6) 11.3047(6) 90. 90. 90.	7.9936 7.9936 7.9936 60.000 60.000 60.000	11.3047 11.3047 11.3047 90.000 90.000 90.000	293.00	0.101325		1989	10	
70762	2172936	F m -3 m	Cs2 Ag Bi Br6	K2NaAlF6	Dimensional reduction of Cs\(_2\)AgBiBr\(_6\) using alkyl ammonium cations CH\(_3\)(CH\(_2\))\(_n\)NH\(_3\)\(^+\) (n = 1, 2, 3, and 6) of varying chain lengths and their role in structural and optoelectronic properties	Sikarwar, Poonam; Siwach, Puneet; Chandra, Neelam Venkata Phani; Antharjanam, Sudhadevi; Chandiran, Aravind Kumar	Inorganic Chemistry (2023) 62, (14) p. 5836-5844	11.269(3) 11.269(3) 11.269(3) 90 90 90	7.9684 7.9684 7.9684 60.000 60.000 60.000	11.2690 11.2690 11.2690 90.000 90.000 90.000	296.00	0.101325		2023	10	
205255	1879799	F m -3 m	Cs2 Ag Sb Br6	K2NaAlF6	Enhanced visible light absorption for lead-free double perovskite Cs$_2$AgSbBr$_6$	Wei, Fengxia; Deng, Zeyu; Sun, Shijing; Hartono, Noor Titan Putri; Seng, Hwee Leng; Buonassisi, Tonio; Bristowe, Paul D.; Cheetham, Anthony K.	Chemical Communications (Cambridge, United Kingdom) (2019) 55, (26) p. 3721-3724	11.1583(7) 11.1583(7) 11.1583(7) 90 90 90	7.8901 7.8901 7.8901 60.000 60.000 60.000	11.1583 11.1583 11.1583 90.000 90.000 90.000	298.10	0.101325		2019	10	
205256	1879801	F m -3 m	Cs2 Ag Sb Br6	K2NaAlF6	Enhanced visible light absorption for lead-free double perovskite Cs$_2$AgSbBr$_6$	Wei, Fengxia; Deng, Zeyu; Sun, Shijing; Hartono, Noor Titan Putri; Seng, Hwee Leng; Buonassisi, Tonio; Bristowe, Paul D.; Cheetham, Anthony K.	Chemical Communications (Cambridge, United Kingdom) (2019) 55, (26) p. 3721-3724	11.2166(7) 11.2166(7) 11.2166(7) 90 90 90	7.9313 7.9313 7.9313 60.000 60.000 60.000	11.2166 11.2166 11.2166 90.000 90.000 90.000	300.10	0.101325		2019	10	
206165	1919712	I 4/m	Cs2 Ag Bi Br6	Sr2NiWO6	Interface engineering strategies towards Cs$_2$AgBiBr$_6$ single-crystalline photodetectors with good Ohmic contact behaviours	Dang, Yangyang; Tong, Guoqing; Song, Wentao; Liu, Zonghao; Qiu, Longbin; Ono, Luis K.; Qi, Yabing	Journal of Materials Chemistry C: Materials for Optical and Electronic Devices (2020) 8, (1) p. 276-284	7.8943(4) 7.8943(4) 11.2420(11) 90 90 90	7.8943 7.8943 7.9218 119.885 119.885 90.000	7.8943 7.8943 11.2420 90.000 90.000 90.000	100.00	0.101325		2020	10	
206166	1919713	F m -3 m	Cs2 Ag Bi Br6	K2NaAlF6	Interface engineering strategies towards Cs$_2$AgBiBr$_6$ single-crystalline photodetectors with good Ohmic contact behaviours	Dang, Yangyang; Tong, Guoqing; Song, Wentao; Liu, Zonghao; Qiu, Longbin; Ono, Luis K.; Qi, Yabing	Journal of Materials Chemistry C: Materials for Optical and Electronic Devices (2020) 8, (1) p. 276-284	11.1982(10) 11.1982(10) 11.1982(10) 90 90 90	7.9183 7.9183 7.9183 60.000 60.000 60.000	11.1982 11.1982 11.1982 90.000 90.000 90.000	100.00	0.101325		2020	10	
206167	1919714	F m -3 m	Cs2 Ag Bi Br6	K2NaAlF6	Interface engineering strategies towards Cs$_2$AgBiBr$_6$ single-crystalline photodetectors with good Ohmic contact behaviours	Dang, Yangyang; Tong, Guoqing; Song, Wentao; Liu, Zonghao; Qiu, Longbin; Ono, Luis K.; Qi, Yabing	Journal of Materials Chemistry C: Materials for Optical and Electronic Devices (2020) 8, (1) p. 276-284	11.2528(11) 11.2528(11) 11.2528(11) 90 90 90	7.9569 7.9569 7.9569 60.000 60.000 60.000	11.2528 11.2528 11.2528 90.000 90.000 90.000	293.00	0.101325		2020	10	
