CollectionCode,CcdcNo,HMS,StructuredFormula,StructureType,Title,Authors,Reference,CellParameter,ReducedCellParameter,StandardisedCellParameter,Temperature,Pressure,MineralName,PublicationYear,Quality,Unnamed: 16,cleanedformula,bsites,xsite,simplename,unique
36616,,I 4/m m m,Cs2 Hg Pd Cl6,CsAuCl3,"Darstellung und Kristallstruktur von Cs2HgPdCl6, eine Verzerrungsvariante der Chloroperowskite","Schroeder, L.; Keller, H.","Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1991) 603,  p. 69-76",7.432(4) 7.432(4) 10.874(7) 90. 90. 90.,7.4320 7.4320 7.5616 119.434 119.434 90.000,7.4320 7.4320 10.8740 90.000 90.000 90.000,293.0,0.101325,,1991,10,,Cs2 Hg Pd Cl6,"{'Hg', 'Pd'}",Cl,CsHgPdCl,True
53945,2143957.0,I 4/m m m,Cs2 Hg Cu Cl6,CsAuCl3,Jahn-Teller distortion-stabilized halide double perovskites with unusual rock-salt-type ordering of divalent B-site cations,"Ji, Guoqi; Xiao, Zewen","Chemistry of Materials (2022) 34, (18) p. 8207-8212",7.3732(3) 7.3732(3) 10.5806(4) 90 90 90,7.3732 7.3732 7.4276 119.758 119.758 90.000,7.3732 7.3732 10.5806 90.000 90.000 90.000,250.0,0.101325,,2022,10,,Cs2 Hg Cu Cl6,"{'Hg', 'Cu'}",Cl,CsCuHgCl,True
65734,,R -3 m H,Cs2 Li Sc Cl6,Cs2LiScCl6,"Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices","Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.","Inorganic Chemistry (1989) 28,  p. 3249-3258",7.2965(6) 7.2965(6) 35.989(4) 90. 90. 120.,7.2965 7.2965 12.7145 73.325 73.325 60.000,7.2965 7.2965 35.9890 90.000 90.000 120.000,293.0,0.101325,,1989,10,,Cs2 Li Sc Cl6,"{'Sc', 'Li'}",Cl,CsLiScCl,True
65735,,R -3 m H,Cs2 Li In Cl6,Cs2LiScCl6,"Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices","Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.","Inorganic Chemistry (1989) 28,  p. 3249-3258",7.3184(4) 7.3184(4) 36.240(3) 90. 90. 120.,7.3184 7.3184 12.7976 73.386 73.386 60.000,7.3184 7.3184 36.2400 90.000 90.000 120.000,293.0,0.101325,,1989,10,,Cs2 Li In Cl6,"{'In', 'Li'}",Cl,CsInLiCl,True
175159,2335910.0,R -3 m H,Cs2 Na Rh Cl6,Cs2LiScCl6,Exploring the electronic dimensionality of ternary and quaternary rhodium halides,"Liu, David; Holzapfel, Noah P.; Milder, Alexander; Woodward, Patrick M.","Chemistry of Materials (2024) 36, (5) p. 2450-2460",7.26932(4) 7.26932(4) 36.3781(3) 90 90 120,7.2693 7.2693 12.8318 73.546 73.546 60.000,7.2693 7.2693 36.3781 90.000 90.000 120.000,293.0,0.101325,,2024,10,,Cs2 Na Rh Cl6,"{'Na', 'Rh'}",Cl,CsNaRhCl,True
175161,2335911.0,R -3 m H,Cs2 Ag Rh Cl6,Cs2LiScCl6,Exploring the electronic dimensionality of ternary and quaternary rhodium halides,"Liu, David; Holzapfel, Noah P.; Milder, Alexander; Woodward, Patrick M.","Chemistry of Materials (2024) 36, (5) p. 2450-2460",7.23116(4) 7.23116(4) 36.3344(3) 90 90 120,7.2311 7.2311 12.8108 73.607 73.607 60.000,7.2312 7.2312 36.3344 90.000 90.000 120.000,293.0,0.101325,,2024,10,,Cs2 Ag Rh Cl6,"{'Rh', 'Ag'}",Cl,CsAgRhCl,True
759422,1861251.0,R -3 m H,Cs2 Ag Cr Cl6,Cs2LiScCl6,Hexagonal double perovskite Cs2AgCrCl6,"Zhou, Yuqiao; Askar, Abdelrahman M.; Poehls, Jan-Hendrik; Iyer, Abishek K.; Oliynyk, Anton O.; Shankar, Karthik; Mar, Arthur","Zeitschrift fuer Anorganische und Allgemeine Chemie (2019) 645, (3) p. 323-328",7.2692(4) 7.2692(4) 36.443(2) 90 90 120,7.2692 7.2692 12.8522 73.573 73.573 60.000,7.2692 7.2692 36.4430 90.000 90.000 120.000,296.0,0.101325,,2019,10,,Cs2 Ag Cr Cl6,"{'Cr', 'Ag'}",Cl,CsAgCrCl,True
14339,,P -3 m 1,Cs2 Ce Cl6,(NH4)2SiF6,The crystal structure of the compound Cs2 Ce Cl6,"Kaatz, T.; Marcovich, M.","Acta Crystallographica (1966) 21,  p. 1011",7.476(2) 7.476(2) 6.039(2) 90. 90. 120.,6.0390 7.4760 7.4760 120.000 90.000 90.000,7.4760 7.4760 6.0390 90.000 90.000 120.000,293.0,0.101325,,1966,10,,Cs2 Ce Cl6,"{'Ce', nan}",Cl,CsCeCl,True
34722,1955021.0,I 4/m,Cs2 In2 Cl6,,Pressure-induced semiconductor-to-metal phase transition of a charge-ordered indium halide perovskite,"Lin, Jia; Chen, Hong; Gao, Yang; Cai, Yao; Jin, Jianbo; Etman, Ahmed S.; Kang, Joohoon; Lei, Teng; Lin, Zhenni; Folgueras, Maria C.; Quan, Li Na; Kong, Qiao; Sherburne, Matthew; Asta, Mark; Sun, Junliang; Toney, Michael F.; Wu, Junqiao; Yang, Peidong","Proceedings of the National Academy of Sciences of the United States of America (2019) 116, (47) p. 23404-23409",17.2604(12) 17.2604(12) 11.0113(16) 90 90 90,11.0113 13.3892 13.3893 80.266 65.720 65.720,17.2604 17.2604 11.0113 90.000 90.000 90.000,100.0,0.101325,,2019,10,,Cs2 In2 Cl6,set(),Cl,CsCl,True
202332,,P -3 m 1,Cs2 U Cl6,(NH4)2SiF6,"Facile synthesis of U Cl4 and Th Cl4, metallothermic reductions of U Cl4 wih alkali metals and crystal structure refinements of U Cl3, U Cl4 and Cs2 U Cl6","Schleid, T.; Meyer, G.; Morss, L.R.","Journal of the Less-Common Metals (1987) 132,  p. 69-77",7.5037(3) 7.5037(3) 6.0540(4) 90. 90. 120.,6.0540 7.5037 7.5037 120.000 90.000 90.000,7.5037 7.5037 6.0540 90.000 90.000 120.000,293.0,0.101325,,1987,10,,Cs2 U Cl6,"{'U', nan}",Cl,CsUCl,True
