CsAgLuCl,Cs,Ag,1,Lu,3,Cl,1000
CsAuVCl,Cs,Au,1,V,3,Cl,1001
CsNaPrCl,Cs,Na,1,Pr,3,Cl,1002
CsAgDyCl,Cs,Ag,2,Dy,2,Cl,1003
CsMgNdCl,Cs,Mg,2,Nd,2,Cl,1004
CsVSmCl,Cs,V,2,Sm,2,Cl,1005
CsPtAmCl,Cs,Pt,2,Am,2,Cl,1006
CsAgYbCl,Cs,Ag,1,Yb,3,Cl,1007
CsSmPtCl,Cs,Sm,2,Pt,2,Cl,1008
CsKVCl,Cs,K,1,V,3,Cl,1009
CsCaHgCl,Cs,Ca,2,Hg,2,Cl,1010
CsCaYbCl,Cs,Ca,2,Yb,2,Cl,1011
CsNaPuCl,Cs,Na,1,Pu,3,Cl,1012
CsGeNdCl,Cs,Ge,2,Nd,2,Cl,1013
CsCdDyCl,Cs,Cd,2,Dy,2,Cl,1014
CsCuNdCl,Cs,Cu,2,Nd,2,Cl,1015
CsNaNdCl,Cs,Na,1,Nd,3,Cl,1016
CsAgAuCl,Cs,Ag,1,Au,3,Cl,1017
CsKGaCl,Cs,K,1,Ga,3,Cl,1018
CsVAmCl,Cs,V,2,Am,2,Cl,1019
CsPdEuCl,Cs,Pd,2,Eu,2,Cl,1020
CsTiEuCl,Cs,Ti,2,Eu,2,Cl,1021
CsNaNpCl,Cs,Na,1,Np,3,Cl,1022
CsAgTmCl,Cs,Ag,1,Tm,3,Cl,1023
CsZnNdCl,Cs,Zn,2,Nd,2,Cl,1024
CsNaCeCl,Cs,Na,1,Ce,3,Cl,1025
CsCaTmCl,Cs,Ca,2,Tm,2,Cl,1026
CsNaAmCl,Cs,Na,1,Am,3,Cl,1027
CsKCrCl,Cs,K,1,Cr,3,Cl,1028
CsKMnCl,Cs,K,1,Mn,3,Cl,1029
CsAgTlCl,Cs,Ag,1,Tl,3,Cl,1030
CsAuRhCl,Cs,Au,1,Rh,3,Cl,1031
CsTlAlCl,Cs,Tl,1,Al,3,Cl,1032
CsPtPbCl,Cs,Pt,2,Pb,2,Cl,1033
CsHgInCl,Cs,Hg,1,In,3,Cl,1034
CsNaCmCl,Cs,Na,1,Cm,3,Cl,1035
CsAuGaCl,Cs,Au,1,Ga,3,Cl,1036
CsNaPmCl,Cs,Na,1,Pm,3,Cl,1037
CsCoNdCl,Cs,Co,2,Nd,2,Cl,1038
CsYbHgCl,Cs,Yb,2,Hg,2,Cl,1039
CsNiBaCl,Cs,Ni,2,Ba,2,Cl,1040
CsSrPdCl,Cs,Sr,2,Pd,2,Cl,1041
